Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Wouri,21.01.19690758163,-5.054005435390171
Wurren,01.08.23080817122,-55.144474968646925
Xami,14.42.300001814549,-64.58299526348365
Xamidimura,16.51.520002491679,-38.0249968370275
Xihe,18.43.361108365736,36.33237898690318
Xuange,14.16.230192270829,46.05179488408027
Yed Posterior,16.18.190009111728,-4.413196308019557
Yed Prior,16.14.200009262095,-3.4140962502522587
Yildun,17.32.130140653862,86.35112827823988
Yunü,10.07.542709175137,9.5951056847858
Zaniah,12.19.540009758241,-0.39999523731133335
Zaurak,03.58.100011446395,-13.303003972395942
Zavijava,11.50.420009606576,1.454804535200425
Zembra,22.37.31902764312,-16.59598245586914
Zhang,09.51.286950653419,-14.504774198421831
Zhou,15.46.110011570237,15.25170412473835
Zibal,03.15.500276135155,-8.491106659261376
Zosma,11.15.7283111,20.312604157651137
Zubenelgenubi,14.50.520008534246,-16.022995323865825
Zubenelhakrabi,15.35.310008115297,-14.472195749129778
Zubeneschamali,15.17.8852134,-9.225795552183769
