Common Name,Designation
Mirach,HR 337
Miram,HR 834
Mirfak,HR 1017
Mirzam,HR 2294
Misam,HR 941
Mizar,HR 5054
Moldoveanu,XO-1
Monch,HD 130322
Montuno,WASP-79
Morava,WASP-60
Moriah,HAT-P-23
Mothallah,HR 544
Mouhoun,HD 30856
Mpingo,WASP-71
Muliphein,HR 2657
Muphrid,HR 5235
Muscida,HR 3323
Musica,HR 8030
Muspelheim,HAT-P-29
Nahn,HR 3627
Naledi,WASP-62
Naos,HR 3165
Nashira,HR 8278
Nasti,HD 68988
Natasha,HD 85390
Nekkar,HR 5602
Nembus,HR 464
Nenque,HD 6434
Nervia,HD 49674
Nganurganity,HR 2646
Nihal,HR 1829
Nikawiy,HD 136418
Nosaxa,HD 48265
Nunki,HR 7121
Nusakan,HR 5747
Nushagak,HD 17156
Nyamien,WASP-15
Ogma,HD 149026
Okab,HR 7235
Paikauhale,HR 6165
Parumleo,WASP-32
Peacock,HR 7790
Petra,WASP-80
Phact,HR 1956
Phecda,HR 4554
Pherkad,HR 5735
Phoenicia,HD 192263
Piautos,HR 3268
Pincoya,HD 164604
Pipirima,HR 6252
Pipoltr,TrES-3
Pleione,HR 1180
Poerava,HD 221287
Polaris,HR 424
Polaris Australis,HR 7228
Polis,HR 6812
Pollux,HR 2990
Porrima,HR 4825
Praecipua,HR 4247
Prima Hyadum,HR 1346
Procyon,HR 2943
Propus,HR 2216
Proxima Centauri,GJ 551
Ran,HR 1084
Rana,HR 1136
Rapeto,HD 153950
Rasalas,HR 3905
Rasalgethi,HR 6406
Rasalhague,HR 6556
Rastaban,HR 6536
Regulus,HR 3982
Revati,HR 361
Rigel,HR 1713
Rigil Kentaurus,HR 5459
Rosaliadecastro,HD 149143
Rotanev,HR 7882
Ruchbah,HR 403
Rukbat,HR 7348
Sabik,HR 6378
Saclateni,HR 1612
Sadachbia,HR 8518
Sadalbari,HR 8684
Sadalmelik,HR 8414
Sadalsuud,HR 8232
Sadr,HR 7796
Sagarmatha,HD 100777
Saiph,HR 2004
Salm,HR 8880
Samaya,HD 205739
Sansuna,HAT-P-34
Sargas,HR 6553
Sarin,HR 6410
Sceptrum,HR 1481
Scheat,HR 8775
Schedar,HR 168
Secunda Hyadum,HR 1373
Segin,HR 0542
Seginus,HR 5435
Sham,HR 7479
Shama,HD 99109
Sharjah,HIP 79431
Shaula,HR 6527
Sheliak,HR 7106
Sheratan,HR 553
Sika,HD 181720
Sirius,HR 2491
Situla,HR 8610
Skat,HR 8709
Solaris,BD+14 4559
Spica,HR 5056
Sterrennacht,HAT-P-6
Stribor,HD 75898
Sualocin,HR 7906
Subra,HR 3852
Suhail,HR 3634
Sulafat,HR 7178
Syrma,HR 5338
Tabit,HR 1543
Taika,HAT-P-40
Taiyangshou,HR 4518
Taiyi,HR 4916
Talitha,HR 3569
Tangra,WASP-21
Tania Australis,HR 4069
Tania Borealis,HR 4033
Tapecue,HD 63765
Tarazed,HR 7525
Tarf,HR 3249
Taygeta,HR 1145
Tegmine,HR 3208
Tejat,HR 2286
Terebellum,HR 7597
Tevel,HAT-P-9
Theemin,HR 1464
Thuban,HR 5291
Tiaki,HR 8636
Tianguan,HR 1910
Tianyi,HR 4863
Timir,HD 148427
Tislit,WASP-161
Titawin,HR 458
Tojil,WASP-22
Toliman,HR 5460
Tonatiuh,HR 4609
Torcular,HR 510
Tuiren,HAT-P-36
Tupa,HD 108147
Tupi,HD 23079
Tureis,HR 3185
Ukdah,HR 3845
Uklun,HD 102117
Unukalhai,HR 5854
Uruk,HD 231701
Vega,HR 7001
Veritate,HR 8930
Vindemiatrix,HR 4932
Wasat,HR 2777
Wazn,HR 2040
Wezen,HR 2693
Wurren,HR 338
Xamidimura,HR 6247
Xihe,HD 173416
Xuange,HR 5351
Yed Posterior,HR 6075
Yed Prior,HR 6056
Yildun,HR 6789
Zaniah,HR 4689
Zaurak,HR 1231
Zavijava,HR 4540
Zhang,HR 3903
Zibal,HR 984
Zosma,HR 4357
Zubenelgenubi,HR 5531
Zubenelhakrabi,HR 5787
Zubeneschamali,HR 5685
