Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Algorab,12.29.51,-16.3057,2.97,251.3,236.4,-209.3131,-139.0673,"Algorab, δ-Crv, Delta Corvi, 7-Crv, 7 Corvi, HR 4757, HD 108767, NSV 5656, HIP 60965, TYC 6103-2395-1, Gaia EDR3- 3520586071217872896",https://in-the-sky.org/data/object.php?id=TYC6103-2395-1
Alhena,06.37.42,16.2357,1.93,56.7,165.9,13.813,-54.9917,"Alhena, γ-Gem, Gamma Geminorum, 24-Gem, 24 Geminorum, HR 2421, HD 47105, HIP 31681",https://in-the-sky.org/data/object.php?id=HIP31681
Alioth,12.54.01,55.5735,1.76,112.2,94.2,111.8987,-8.2173,"Alioth, ε-UMa, Epsilon Ursae Majoris, 77-UMa, 77 Ursae Majoris, HR 4905, HD 112185, HIP 62956, TYC 3845-1190-1",https://in-the-sky.org/data/object.php?id=TYC3845-1190-1
Aljanah,20.46.12,33.5812,2.46,485.6,47.1,355.7228,330.5581,"ε-Cyg, Epsilon Cygni, 53-Cyg, 53 Cygni, HR 7949, HD 197989, HIP 102488, TYC 2695-4139-1",https://in-the-sky.org/data/object.php?id=TYC2695-4139-1
Alkaid,13.47.32,49.1847,1.86,122.1,263.0,-121.1899,-14.8802,"Alkaid, η-UMa, Eta Ursae Majoris, 85-UMa, 85 Ursae Majoris, HR 5191, HD 120315, NSV 6450, HIP 67301, TYC 3467-1257-1",https://in-the-sky.org/data/object.php?id=TYC3467-1257-1
Alkalurops,15.24.2943147,37.22377613,4.31,174.6474,30.8558,-149.928,89.573,"Alkalurops, Inkalunis, Icalurus, Clava, Venabulum, μ Boo, 51 Boötis, FK5 568, ADS 9626, CCDM 15245+3722",https://en.wikipedia.org/wiki/Mu_Bo%C3%B6tis
Alkaphrah,09.03.37,47.0923,3.58,66.2,213.2,-36.2487,-55.3938,"κ-UMa, Kappa Ursae Majoris, 12-UMa, 12 Ursae Majoris, HR 3594, HD 77327, NSV 4357, HIP 44471, TYC 3424-1626-1",https://in-the-sky.org/data/object.php?id=TYC3424-1626-1
Alkarab,23.25.2278350,23.24147606,4.4,195.5547,79.356,192.19,36.12,"Alkarab, υ Peg, 68 Pegasi, BD+22°4833, FK5 881, GC 32585, HD 220657, HIP 115623, HR 8905, SAO 91253",https://en.wikipedia.org/wiki/Upsilon_Pegasi
Alkes,10.59.4646516,-18.17556304,4.07,479.86,15.5467,-462.303,128.614,"7 Crt, NLTT 25942, LTT 4040, HD 95272, BD−17°3273, HIP 53740, HR 4287, FK5 1283, SAO 156375",https://en.wikipedia.org/wiki/Alpha_Crateris
Almaaz,05.01.58,43.4923,3.03,3.2,163.9,0.8874,-3.0745,"ε-Aur, Epsilon Aurigae, 7-Aur, 7 Aurigae, HR 1605, HD 31964, HIP 23416, TYC 2907-1275-1, Gaia EDR3- 205499655242974464",https://in-the-sky.org/data/object.php?id=TYC2907-1275-1
Almach,02.03.53,42.1947,2.17,65.0,139.4,42.3003,-49.3526,"Almach, γ¹-And, Gamma1 Andromedae, 57-And, 57 Andromedae, HR 603, HD 12533, HIP 9640, TYC 2837-2311-1",https://in-the-sky.org/data/object.php?id=TYC2837-2311-1
Alnair,22.08.13,-46.5738,1.77,194.4,139.3,126.7679,-147.3813,"Alnair, α-Gru, Alpha Gruis, HR 8425, HD 209952, NSV 14040, HIP 109268, TYC 8438-1959-1",https://in-the-sky.org/data/object.php?id=TYC8438-1959-1
Alnasl,18.05.48,-30.2526,2.96,188.8,196.6,-53.938,-180.9313,"Alnasl, γ-Sgr, Gamma Sagittarii, 10-Sgr, 10 Sagittarii, HR 6746, HD 165135, NSV 10173, HIP 88635, TYC 7391-2710-1",https://in-the-sky.org/data/object.php?id=TYC7391-2710-1
Alnilam,05.36.12,-1.1206,1.72,1.6,118.4,1.4074,-0.761,"Alnilam, ε-Ori, Epsilon Orionis, 46-Ori, 46 Orionis, HR 1903, HD 37128, HIP 26311, TYC 4766-2450-1",https://in-the-sky.org/data/object.php?id=TYC4766-2450-1
Alnitak,05.40.45,-1.5633,1.9,3.8,57.5,3.2049,2.0417,"Alnitak, ζ-Ori, Zeta Orionis, 50-Ori, 50 Orionis, HR 1948, HD 37742, NSV 2553, HIP 26727, TYC 4771-1188-1",https://in-the-sky.org/data/object.php?id=TYC4771-1188-1
Alniyat,16.21.11,-25.3534,2.9,19.4,213.1,-10.5944,-16.2517,"σ-Sco, Sigma Scorpii, 20-Sco, 20 Scorpii, HR 6084, HD 147165, HIP 80112, TYC 6798-540-1, Gaia EDR3- 6048602103663486592",https://in-the-sky.org/data/object.php?id=TYC6798-540-1
Alphard,09.27.35,-8.393,1.98,37.6,336.1,-15.2333,34.3759,"Alphard, α-Hya, Alpha Hydrae, 30-Hya, 30 Hydrae, HR 3748, HD 81797, NSV 4496, HIP 46390, TYC 5460-1592-1",https://in-the-sky.org/data/object.php?id=TYC5460-1592-1
Alphecca,15.34.41,26.4251,2.22,147.8,126.4,118.9633,-87.7073,"Alphecca, α-CrB, Alpha Coronae Borealis, 5-CrB, 5 Coronae Borealis, HR 5793, HD 139006, HIP 76267, TYC 2029-1690-1, Gaia EDR3- 1222646935698492160",https://in-the-sky.org/data/object.php?id=TYC2029-1690-1
Alpheratz,00.08.23,29.0526,2.06,213.6,139.9,137.5848,-163.3872,"Alpheratz, α-And, Alpha Andromedae, 21-And, 21 Andromedae, HR 15, HD 358, HIP 677, TYC 1735-3180-1",https://in-the-sky.org/data/object.php?id=TYC1735-3180-1
Alpherg,01.31.29,15.2044,3.61,28.8,96.4,28.6205,-3.2103,"η-Psc, Eta Piscium, 99-Psc, 99 Piscium, HR 437, HD 9270, NSV 532, HIP 7097, TYC 1198-1597-1, Gaia EDR3- 2591891443195067264",https://in-the-sky.org/data/object.php?id=TYC1198-1597-1
Alrakis,17.05.20114,54.281226,3.429,112.01,52.3628,-68.4,88.7,"Alrakis, Mu Draconis A, Mu Dra A, HD 154906, TYC 3890-1396-2, HR 6370, BD +54 1857A, Gliese 9584",https://www.universeguide.com/star/122765/alrakis
Alrescha,02.02.0281972,2.4549541,3.82,32.45,89.9294,32.45,0.04,"Alrischa, Kaitain, Okda, Okdah, Syndesmos, α Psc, 113 Piscium, BD+02°317, FK5 28, HIP 9487, SAO 110291, WDS J02020+0246AB",https://en.wikipedia.org/wiki/Alpha_Piscium
Alruba,17.43.5917049,54.48061637,5.76,25.1599,226.087,17.45,-18.125,"Alruba, BD+53°1978, CPD–51°9815, HD 161693, HIP 86782, HR 6618, SAO 30538",https://en.wikipedia.org/wiki/Alruba
Alsafi,19.32.2159021,69.39402358,4.674,1838.0712,251.0341,597.384,-1738.286,"Alsafi, σ Draconis, Sig Dra, σ Dra, 61 Draconis, BD+69°1053, GJ 764, HD 185144, HIP 96100, HR 7462, LHS 477",https://en.wikipedia.org/wiki/Sigma_Draconis
Alsciaukat,08.22.5011000,43.11172724,4.25,102.37,194.2276,-25.16,-99.23,"Alsciaukat, 31 Lyn, BN Lyn, NSV 4030, BD+43°1815, FK5 314, GC 11401, HD 70272, HIP 41075, HR 3275, SAO 42319",https://en.wikipedia.org/wiki/31_Lyncis
Alsephina,08.44.42,-54.423,1.94,107.3,164.3,29.0354,-103.2968,"δ-Vel, Delta Velorum, HR 3485, HD 74956, HIP 42913, TYC 8573-3571-1",https://in-the-sky.org/data/object.php?id=TYC8573-3571-1
Alshain,19.55.18,6.2416,3.72,483.2,174.5,46.3127,-480.9754,"Alshain, β-Aql, Beta Aquilae, 60-Aql, 60 Aquilae, HR 7602, HD 188512, NSV 12557, HIP 98036, TYC 493-3355-1, Gaia EDR3- 4296708789290712064",https://in-the-sky.org/data/object.php?id=TYC493-3355-1
Alshat,20.20.3981562,-12.45326844,4.76,20.5507,224.172,14.74,-14.32,"Alshat, ν Cap, Nu Cap, 8 Cap, BD−13°5642, HD 193432, HIP 100310, HR 7773, SAO 163468, ADS 13714, WDS J20207-1246A",https://en.wikipedia.org/wiki/Nu_Capricorni
Altair,19.50.46,8.5202,0.93,660.3,54.3,536.2188,385.3123,"Altair, α-Aql, Alpha Aquilae, 53-Aql, 53 Aquilae, HR 7557, HD 187642, HIP 97649, TYC 1058-3399-1",https://in-the-sky.org/data/object.php?id=TYC1058-3399-1
Altais,19.12.33,67.3943,3.06,132.2,45.7,94.6146,92.3305,"Altais, δ-Dra, Delta Draconis, 57-Dra, 57 Draconis, HR 7310, HD 180711, HIP 94376, TYC 4444-2239-1, Gaia EDR3- 2255173119658513408",https://in-the-sky.org/data/object.php?id=TYC4444-2239-1
Alterf,09.31.4322754,22.58046904,4.32,44.325,207.068,-20.17,-39.47,"Alterf, λ Leo, 4 Leo, BD+23°2107, HD 82308, HIP 46750, HR 3773, SAO 80885",https://en.wikipedia.org/wiki/Lambda_Leonis
Aludra,07.24.05,-29.1811,2.46,7.1,324.5,-4.123,5.7802,"Aludra, η-CMa, Eta Canis Majoris, 31-CMa, 31 Canis Majoris, HR 2827, HD 58350, HIP 35904, TYC 6550-4525-1, Gaia EDR3- 5605797194566011520",https://in-the-sky.org/data/object.php?id=TYC6550-4525-1
Alula Australis,11.18.10902,31.314498,4.264,696.221,209.1755,-339.398,-607.892,"Alula Australis, HR 4375, ξ Ursae Majoris, ξ UMa, Xi UMa, 53 Ursae Majoris, BD+32°2132, GC 15537, GJ 423, HIP 55203, SAO 62484, CCDM J11182+3132, WDS J11182+3132",https://en.wikipedia.org/wiki/Xi_Ursae_Majoris
Alula Borealis,11.18.28,33.0539,3.48,38.2,316.9,-26.1011,27.8922,"Alula Borealis, ν-UMa, Nu Ursae Majoris, 54-UMa, 54 Ursae Majoris, HR 4377, HD 98262, HIP 55219, TYC 2520-2631-1, Gaia EDR3- 757565233820538752",https://in-the-sky.org/data/object.php?id=TYC2520-2631-1
Alya,18.56.13,4.1213,4.58,56.0,56.0,46.4261,31.3148,"Alya, θ¹-Ser, θ¹-Ser, Theta1 Serpentis Cauda, 63-Ser, 63 Serpentis Cauda, HR 7141, HD 175638, NSV 11557, HIP 92946, TYC 457-687-1, Gaia EDR3- 4281199284413726208",https://in-the-sky.org/data/object.php?id=TYC457-687-1
Alzirr,06.45.17,12.5341,3.33,223.3,210.9,-114.6738,-191.6059,"ξ-Gem, Xi Geminorum, 31-Gem, 31 Geminorum, HR 2484, HD 48737, NSV 3193, HIP 32362, TYC 754-2356-1, Gaia EDR3- 3352485999058854912",https://in-the-sky.org/data/object.php?id=TYC754-2356-1
Amadioha,06.13.3566155,-29.53501516,8.98,148.5782,83.5852,147.648,16.6,"Amadioha, CD−29°2884, HD 43197, HIP 29550, SAO 171427, PPM 250048",https://en.wikipedia.org/wiki/HD_43197
Amansinaya,11.01.358978,-23.5138387,10.28,78.9347,213.7432,-43.846,-65.637,"Amansinaya, CD−23 9677, CPD−23 5039, SAO 179442, TOI-744, TIC 437242640, WASP-34, TYC 6636-540-1, GSC 06636-00540, 2MASS J11013589-2351382, DENIS J110135.9-235138",https://en.wikipedia.org/wiki/WASP-34
Anadolu,23.13.587576,8.4540572,12.0,44.8703,188.9001,-6.942,-44.33,"Anadolu, TIC 427685831, WASP-52, 2MASS J23135873+0845405",https://en.wikipedia.org/wiki/WASP-52
Ancha,22.16.50037,-7.465984,4.175,120.9336,190.4468,118.929,-21.928,"Ancha, θ Aquarii, Tet Aqr, θ Aqr, 43 Aquarii, BD−08 5845, FK5 840, HD 211391, HIP 110003, HR 8499, SAO 145991",https://en.wikipedia.org/wiki/Theta_Aquarii
Angetenar,02.51.0232186,-21.00144654,4.78,41.73,247.3801,-38.52,-16.05,"Angetenar, τ2 Eridani, 2 Eri, BD−21°509, HD 17824, HIP 13288, HR 850, SAO 168094",https://en.wikipedia.org/wiki/Tau2_Eridani
Aniara,11.51.225108967056,57.3826642076396,7.851,21.245,214.3977,-12.002,-17.53,"Aniara, HD 102956",https://simbad.u-strasbg.fr/simbad/sim-basic?Ident=Aniara&submit=SIMBAD+search
