Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL
Alkaid,"Alkaid, η-UMa, Eta Ursae Majoris, 85-UMa, 85 Ursae Majoris, HR 5191, HD 120315, NSV 6450, HIP 67301, TYC 3467-1257-1",13.47.32,+49.1847,1.86,122.1,263.0,https://in-the-sky.org/data/object.php?id=TYC3467-1257-1
Atria,"Atria, α-TrA, Alpha Trianguli Australe, HR 6217, HD 150798, HIP 82273, TYC 9275-3641-1",16.48.39,-69.0139,1.90,36.3,150.3,https://in-the-sky.org/data/object.php?id=TYC9275-3641-1
Alnitak,"Alnitak, ζ-Ori, Zeta Orionis, 50-Ori, 50 Orionis, HR 1948, HD 37742, NSV 2553, HIP 26727, TYC 4771-1188-1",05.40.45,-01.5633,1.90,3.8,57.5,https://in-the-sky.org/data/object.php?id=TYC4771-1188-1
Menkalinan,"Menkalinan, β-Aur, Beta Aurigae, 34-Aur, 34 Aurigae, HR 2088, HD 40183, HIP 28360, TYC 2924-2742-1",05.59.31,+44.5650,1.90,56.4,269.0,https://in-the-sky.org/data/object.php?id=TYC2924-2742-1
Peacock,"Peacock, α-Pav, Alpha Pavonis, HR 7790, HD 193924, NSV 13060, HIP 100751, TYC 8785-1898-1",20.25.38,-56.4405,1.92,86.3,175.4,https://in-the-sky.org/data/object.php?id=TYC8785-1898-1
Alhena,"Alhena, γ-Gem, Gamma Geminorum, 24-Gem, 24 Geminorum, HR 2421, HD 47105, HIP 31681",06.37.42,+16.2357,1.93,56.7,165.9,https://in-the-sky.org/data/object.php?id=HIP31681
Alsephina,"δ-Vel, Delta Velorum, HR 3485, HD 74956, HIP 42913, TYC 8573-3571-1",08.44.42,-54.4230,1.94,107.3,164.3,https://in-the-sky.org/data/object.php?id=TYC8573-3571-1
Avior,"Avior, ε-Car, Epsilon Carinae, HR 3307, HD 71129, NSV 4058, HIP 41037, TYC 8579-2692-1",08.22.30,-59.3034,1.95,33.7,310.8,https://in-the-sky.org/data/object.php?id=TYC8579-2692-1
Mirzam,"Mirzam, β-CMa, Beta Canis Majoris, 2-CMa, 2 Canis Majoris, HR 2294, HD 44743, HIP 30324, TYC 5938-2918-1",06.22.41,-17.5721,1.96,3.3,256.4,https://in-the-sky.org/data/object.php?id=TYC5938-2918-1
Alphard,"Alphard, α-Hya, Alpha Hydrae, 30-Hya, 30 Hydrae, HR 3748, HD 81797, NSV 4496, HIP 46390, TYC 5460-1592-1",09.27.35,-08.3930,1.98,37.6,336.1,https://in-the-sky.org/data/object.php?id=TYC5460-1592-1
Polaris,"Polaris, α-UMi, Alpha Ursae Minoris, 1-UMi, 1 Ursae Minoris, HR 424, HD 8890, HIP 11767, TYC 4628-237-1",02.31.47,+89.1550,2.00,46.0,104.9,https://in-the-sky.org/data/object.php?id=TYC4628-237-1
Hamal,"Hamal, α-Ari, Alpha Arietis, 13-Ari, 13 Arietis, HR 617, HD 12929, NSV 725, HIP 9884, TYC 1758-2416-1",02.07.10,+23.2745,2.02,239.7,128.1,https://in-the-sky.org/data/object.php?id=TYC1758-2416-1
Menkent,"Menkent, θ-Cen, Theta Centauri, 5-Cen, 5 Centauri, HR 5288, HD 123139, HIP 68933, TYC 7293-2215-1",14.06.40,-36.2211,2.05,734.4,225.1,https://in-the-sky.org/data/object.php?id=TYC7293-2215-1
Diphda,"Diphda, β-Cet, Beta Ceti, 16-Cet, 16 Ceti, HR 188, HD 4128, NSV 272, HIP 3419, TYC 5847-2333-1",00.43.35,-17.5912,2.05,234.7,82.2,https://in-the-sky.org/data/object.php?id=TYC5847-2333-1
Alpheratz,"Alpheratz, α-And, Alpha Andromedae, 21-And, 21 Andromedae, HR 15, HD 358, HIP 677, TYC 1735-3180-1",00.08.23,+29.0526,2.06,213.6,139.9,https://in-the-sky.org/data/object.php?id=TYC1735-3180-1
Saiph,"Saiph, κ-Ori, Kappa Orionis, 53-Ori, 53 Orionis, HR 2004, HD 38771, NSV 2641, HIP 27366, TYC 5351-760-1, Gaia EDR3- 3011968416163350272",05.47.45,-09.4010,2.06,1.9,131.2,https://in-the-sky.org/data/object.php?id=TYC5351-760-1
Kochab,"Kochab, β-UMi, Beta Ursae Minoris, 7-UMi, 7 Ursae Minoris, HR 5563, HD 131873, NSV 6846, HIP 72607, TYC 4416-1799-1",14.50.42,+74.0919,2.06,34.6,289.3,https://in-the-sky.org/data/object.php?id=TYC4416-1799-1
Nunki,"Nunki, σ-Sgr, Sigma Sagittarii, 34-Sgr, 34 Sagittarii, HR 7121, HD 175191, HIP 92855, TYC 6868-1829-1",18.55.15,-26.1747,2.07,55.5,164.2,https://in-the-sky.org/data/object.php?id=TYC6868-1829-1
Mirach,"Mirach, β-And, Beta Andromedae, 43-And, 43 Andromedae, HR 337, HD 6860, NSV 414, HIP 5447, TYC 2286-1329-1",01.09.43,+35.3714,2.07,208.6,122.5,https://in-the-sky.org/data/object.php?id=TYC2286-1329-1
Rasalhague,"Rasalhague, α-Oph, Alpha Ophiuchi, 55-Oph, 55 Ophiuchi, HR 6556, HD 159561, NSV 9189, HIP 86032, TYC 1000-2508-1",17.34.56,+12.3338,2.09,246.5,154.0,https://in-the-sky.org/data/object.php?id=TYC1000-2508-1
Algol,"Algol, β-Per, Beta Persei, 26-Per, 26 Persei, HR 936, HD 19356, HIP 14576, TYC 2851-2168-1",03.08.10,+40.5720,2.11,3.4,119.0,https://in-the-sky.org/data/object.php?id=TYC2851-2168-1
Tiaki,"β-Gru, Beta Gruis, HR 8636, HD 214952, HIP 112122, TYC 8446-1644-1",22.42.40,-46.5304,2.12,135.2,91.9,https://in-the-sky.org/data/object.php?id=TYC8446-1644-1
Denebola,"Denebola, β-Leo, Beta Leonis, 94-Leo, 94 Leonis, HR 4534, HD 102647, HIP 57632, TYC 870-988-1",11.49.03,+14.3420,2.13,510.7,257.0,https://in-the-sky.org/data/object.php?id=TYC870-988-1
Almach,"Almach, γ¹-And, Gamma1 Andromedae, 57-And, 57 Andromedae, HR 603, HD 12533, HIP 9640, TYC 2837-2311-1",02.03.53,+42.1947,2.17,65.0,139.4,https://in-the-sky.org/data/object.php?id=TYC2837-2311-1
Suhail,"Suhail, λ-Vel, Lambda Velorum, HR 3634, HD 78647, HIP 44816, TYC 7689-2617-1",09.07.59,-43.2557,2.20,27.6,299.4,https://in-the-sky.org/data/object.php?id=TYC7689-2617-1
Sadr,"Sadr, γ-Cyg, Gamma Cygni, 37-Cyg, 37 Cygni, HR 7796, HD 194093, NSV 13048, HIP 100453, TYC 3156-2223-1, Gaia EDR3- 2067518817314952576",20.22.13,+40.1524,2.20,2.6,110.8,https://in-the-sky.org/data/object.php?id=TYC3156-2223-1
Mizar,"Mizar, ζ-UMa, Zeta Ursae Majoris, 79-UMa, 79 Ursae Majoris, HR 5054, HD 116656, NSV 6224, HIP 65378, TYC 3850-1385-1, Gaia EDR3- 1563590579347125632",13.23.55,+54.5530,2.22,124.6,100.5,https://in-the-sky.org/data/object.php?id=TYC3850-1385-1
Alphecca,"Alphecca, α-CrB, Alpha Coronae Borealis, 5-CrB, 5 Coronae Borealis, HR 5793, HD 139006, HIP 76267, TYC 2029-1690-1, Gaia EDR3- 1222646935698492160",15.34.41,+26.4251,2.22,147.8,126.4,https://in-the-sky.org/data/object.php?id=TYC2029-1690-1
Naos,"Naos, ζ-Pup, Zeta Puppis, HR 3165, HD 66811, HIP 39429, TYC 7663-4093-1, Gaia EDR3- 5534788672055388032",08.03.35,-40.0011,2.22,34.1,299.3,https://in-the-sky.org/data/object.php?id=TYC7663-4093-1
Eltanin,"Eltanin, γ-Dra, Gamma Draconis, 33-Dra, 33 Draconis, HR 6705, HD 164058, HIP 87833, TYC 3523-1684-1",17.56.36,+51.2920,2.23,24.3,200.4,https://in-the-sky.org/data/object.php?id=TYC3523-1684-1
Mintaka,"Mintaka, δ-Ori, Delta Orionis, 34-Ori, 34 Orionis, HR 1852, HD 36486, HIP 25930, TYC 4766-2445-1, Gaia EDR3- 3220756843825383936",05.32.00,-00.1756,2.23,0.9,137.2,https://in-the-sky.org/data/object.php?id=TYC4766-2445-1
Algieba,"Algieba, γ¹-Leo, Gamma1 Leonis, 41-Leo, 41 Leonis, HR 4057, HD 89484, NSV 4823, HIP 50583, TYC 1423-1349-1",10.19.58,+19.5030,2.23,341.2,116.9,https://in-the-sky.org/data/object.php?id=TYC1423-1349-1
Schedar,"Schedar, α-Cas, Alpha Cassiopeiae, 18-Cas, 18 Cassiopeiae, HR 168, HD 3712, HIP 3179, TYC 3663-2668-1, Gaia EDR3- 418551920284673408",00.40.30,+56.3213,2.25,58.4,122.7,https://in-the-sky.org/data/object.php?id=TYC3663-2668-1
Aspidiske,"Aspidiske, ι-Car, Iota Carinae, HR 3699, HD 80404, NSV 4444, HIP 45556, TYC 8595-3312-1, Gaia EDR3- 5300300156538723328",09.17.05,-59.1630,2.25,22.3,302.4,https://in-the-sky.org/data/object.php?id=TYC8595-3312-1
Larawag,"ε-Sco, Epsilon Scorpii, 26-Sco, 26 Scorpii, HR 6241, HD 151680, NSV 7983, HIP 82396, TYC 7367-804-1",16.50.09,-34.1735,2.27,666.0,247.4,https://in-the-sky.org/data/object.php?id=TYC7367-804-1
Caph,"Caph, β-Cas, Beta Cassiopeiae, 11-Cas, 11 Cassiopeiae, HR 21, HD 432, HIP 746, TYC 3664-1985-1",00.09.10,+59.0900,2.28,553.5,109.0,https://in-the-sky.org/data/object.php?id=TYC3664-1985-1
Dschubba,"Dschubba, δ-Sco, Delta Scorpii, 7-Sco, 7 Scorpii, HR 5953, HD 143275, HIP 78401, TYC 6779-2194-1",16.00.20,-22.3717,2.30,36.9,196.1,https://in-the-sky.org/data/object.php?id=TYC6779-2194-1
Merak,"Merak, β-UMa, Beta Ursae Majoris, 48-UMa, 48 Ursae Majoris, HR 4295, HD 95418, NSV 5053, HIP 53910, TYC 3827-1079-1",11.01.50,+56.2256,2.35,88.0,67.6,https://in-the-sky.org/data/object.php?id=TYC3827-1079-1
Ankaa,"Ankaa, α-Phe, Alpha Phoenicis, HR 99, HD 2261, HIP 2081, TYC 7527-1031-1",00.26.17,-42.1821,2.38,425.7,146.8,https://in-the-sky.org/data/object.php?id=TYC7527-1031-1
Enif,"Enif, ε-Peg, Epsilon Pegasi, 8-Peg, 8 Pegasi, HR 8308, HD 206778, HIP 107315, TYC 1125-2186-1",21.44.11,+09.5230,2.39,26.9,89.1,https://in-the-sky.org/data/object.php?id=TYC1125-2186-1
Phecda,"Phecda, γ-UMa, Gamma Ursae Majoris, 64-UMa, 64 Ursae Majoris, HR 4554, HD 103287, NSV 5379, HIP 58001, TYC 3833-1034-1",11.53.49,+53.4141,2.39,108.2,84.2,https://in-the-sky.org/data/object.php?id=TYC3833-1034-1
Sabik,"Sabik, η-Oph, Eta Ophiuchi, 35-Oph, 35 Ophiuchi, HR 6378, HD 155125, HIP 84012, TYC 6232-1333-1",17.10.22,-15.4330,2.43,107.0,22.0,https://in-the-sky.org/data/object.php?id=TYC6232-1333-1
Aludra,"Aludra, η-CMa, Eta Canis Majoris, 31-CMa, 31 Canis Majoris, HR 2827, HD 58350, HIP 35904, TYC 6550-4525-1, Gaia EDR3- 5605797194566011520",07.24.05,-29.1811,2.46,7.1,324.5,https://in-the-sky.org/data/object.php?id=TYC6550-4525-1
Aljanah,"ε-Cyg, Epsilon Cygni, 53-Cyg, 53 Cygni, HR 7949, HD 197989, HIP 102488, TYC 2695-4139-1",20.46.12,+33.5812,2.46,485.6,47.1,https://in-the-sky.org/data/object.php?id=TYC2695-4139-1
Alderamin,"Alderamin, α-Cep, Alpha Cephei, 5-Cep, 5 Cephei, HR 8162, HD 203280, NSV 13660, HIP 105199, TYC 4252-1870-1",21.18.34,+62.3507,2.47,158.4,71.9,https://in-the-sky.org/data/object.php?id=TYC4252-1870-1
Scheat,"Scheat, β-Peg, Beta Pegasi, 53-Peg, 53 Pegasi, HR 8775, HD 217906, HIP 113881, TYC 2243-1831-1",23.03.46,+28.0458,2.48,232.3,53.9,https://in-the-sky.org/data/object.php?id=TYC2243-1831-1
Markeb,"κ-Vel, Kappa Velorum, HR 3734, HD 81188, HIP 45941, TYC 8588-4200-1, Gaia EDR3- 5310393535853560576",09.22.06,-55.0038,2.48,16.2,315.3,https://in-the-sky.org/data/object.php?id=TYC8588-4200-1
Markab,"Markab, α-Peg, Alpha Pegasi, 54-Peg, 54 Pegasi, HR 8781, HD 218045, NSV 14417, HIP 113963, TYC 1711-2475-1",23.04.45,+15.1219,2.49,73.2,124.4,https://in-the-sky.org/data/object.php?id=TYC1711-2475-1
Menkar,"Menkar, α-Cet, Alpha Ceti, 92-Cet, 92 Ceti, HR 911, HD 18884, HIP 14135, TYC 58-1618-1",03.02.16,+04.0523,2.54,77.6,187.7,https://in-the-sky.org/data/object.php?id=TYC58-1618-1
Zosma,"Zosma, δ-Leo, Delta Leonis, 68-Leo, 68 Leonis, HR 4357, HD 97603, NSV 5143, HIP 54872, TYC 1439-2479-1",11.14.06,+20.3126,2.56,193.5,132.2,https://in-the-sky.org/data/object.php?id=TYC1439-2479-1
Arneb,"Arneb, α-Lep, Alpha Leporis, 11-Lep, 11 Leporis, HR 1865, HD 36673, NSV 2128, HIP 25985, TYC 5920-1685-1, Gaia EDR3- 2971266110612490624",05.32.43,-17.4920,2.59,3.7,66.2,https://in-the-sky.org/data/object.php?id=TYC5920-1685-1
Gienah,"Gienah, γ-Crv, Gamma Corvi, 4-Crv, 4 Corvi, HR 4662, HD 106625, NSV 5515, HIP 59803, TYC 6098-1754-1",12.15.48,-17.3231,2.59,160.1,277.8,https://in-the-sky.org/data/object.php?id=TYC6098-1754-1
Zubeneschamali,"Zubeneschamali, β-Lib, Beta Librae, 27-Lib, 27 Librae, HR 5685, HD 135742, NSV 7009, HIP 74785, TYC 5585-1014-1",15.17.00,-09.2258,2.61,100.0,258.7,https://in-the-sky.org/data/object.php?id=TYC5585-1014-1
Ascella,"Ascella, ζ-Sgr, Zeta Sagittarii, 38-Sgr, 38 Sagittarii, HR 7194, HD 176687, HIP 93506, TYC 6885-2837-1, Gaia EDR3- 6760703042771435136",19.02.36,-29.5248,2.61,23.7,27.1,https://in-the-sky.org/data/object.php?id=TYC6885-2837-1
Acrab,"Acrab, β¹-Sco, Beta1 Scorpii, 8-Sco, 8 Scorpii, HR 5984, HD 144217, NSV 7424, HIP 78820, TYC 6208-1623-1",16.05.26,-19.4819,2.62,24.6,192.2,https://in-the-sky.org/data/object.php?id=TYC6208-1623-1
Unukalhai,"Unukalhai, α-Ser, Alpha Serpentis Caput, 24-Ser, 24 Serpentis Caput, HR 5854, HD 140573, HIP 77070, TYC 363-1135-1, Gaia EDR3- 4429785739602747392",15.44.16,+06.2532,2.63,141.5,71.2,https://in-the-sky.org/data/object.php?id=TYC363-1135-1
Lesath,"Lesath, υ-Sco, Upsilon Scorpii, 34-Sco, 34 Scorpii, HR 6508, HD 158408, HIP 85696, TYC 7387-1249-1",17.30.45,-37.1744,2.64,30.2,184.5,https://in-the-sky.org/data/object.php?id=TYC7387-1249-1
Mahasim,"θ-Aur, Theta Aurigae, 37-Aur, 37 Aurigae, HR 2095, HD 40312, HIP 28380, TYC 2418-1573-1",05.59.43,+37.1246,2.65,85.7,149.4,https://in-the-sky.org/data/object.php?id=TYC2418-1573-1
Sheratan,"Sheratan, β-Ari, Beta Arietis, 6-Ari, 6 Arietis, HR 553, HD 11636, NSV 658, HIP 8903, TYC 1212-1935-1",01.54.38,+20.4829,2.66,148.1,138.2,https://in-the-sky.org/data/object.php?id=TYC1212-1935-1
Phact,"Phact, α-Col, Alpha Columbae, HR 1956, HD 37795, NSV 2549, HIP 26634, TYC 7064-1357-1, Gaia EDR3- 2900546759663847168",05.39.38,-34.0427,2.66,24.4,176.0,https://in-the-sky.org/data/object.php?id=TYC7064-1357-1
Kraz,"β-Crv, Beta Corvi, 9-Crv, 9 Corvi, HR 4786, HD 109379, NSV 5729, HIP 61359, TYC 6683-1116-1, Gaia EDR3- 3501215734352781440",12.34.23,-23.2349,2.66,56.7,178.9,https://in-the-sky.org/data/object.php?id=TYC6683-1116-1
Hassaleh,"ι-Aur, Iota Aurigae, 3-Aur, 3 Aurigae, HR 1577, HD 31398, NSV 1778, HIP 23015, TYC 2391-1446-1, Gaia EDR3- 160886283751041408",04.56.59,+33.0957,2.66,18.2,167.9,https://in-the-sky.org/data/object.php?id=TYC2391-1446-1
Kaus Media,"Kaus Media, δ-Sgr, Delta Sagittarii, 19-Sgr, 19 Sagittarii, HR 6859, HD 168454, HIP 89931, TYC 6856-2170-1, Gaia EDR3- 4049506483413484672",18.20.59,-29.4941,2.68,43.0,129.5,https://in-the-sky.org/data/object.php?id=TYC6856-2170-1
Ruchbah,"Ruchbah, δ-Cas, Delta Cassiopeiae, 37-Cas, 37 Cassiopeiae, HR 403, HD 8538, HIP 6686, TYC 4031-3289-1, Gaia EDR3- 510204838759030144",01.25.49,+60.1406,2.68,300.5,99.4,https://in-the-sky.org/data/object.php?id=TYC4031-3289-1
Muphrid,"Muphrid, η-Boo, Eta Bootis, 8-Boo, 8 Bootis, HR 5235, HD 121370, HIP 67927, TYC 1470-1157-1",13.54.41,+18.2354,2.68,361.5,189.7,https://in-the-sky.org/data/object.php?id=TYC1470-1157-1
Tarazed,"Tarazed, γ-Aql, Gamma Aquilae, 50-Aql, 50 Aquilae, HR 7525, HD 186791, HIP 97278, TYC 1061-2577-1, Gaia EDR3- 4302054339959905920",19.46.15,+10.3647,2.69,16.3,94.8,https://in-the-sky.org/data/object.php?id=TYC1061-2577-1
Zubenelgenubi,"Zubenelgenubi, α²-Lib, Alpha2 Librae, 9-Lib, 9 Librae, HR 5531, HD 130841, NSV 6827, HIP 72622, TYC 6155-1210-1",14.50.52,-16.0230,2.73,125.9,237.1,https://in-the-sky.org/data/object.php?id=TYC6155-1210-1
Yed Prior,"Yed Prior, δ-Oph, Delta Ophiuchi, 1-Oph, 1 Ophiuchi, HR 6056, HD 146051, NSV 7556, HIP 79593, TYC 5037-1068-1, Gaia EDR3- 4357027756659697664",16.14.20,-03.4141,2.73,151.4,197.4,https://in-the-sky.org/data/object.php?id=TYC5037-1068-1
