Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL,Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr)
Hamal,"Hamal, α-Ari, Alpha Arietis, 13-Ari, 13 Arietis, HR 617, HD 12929, NSV 725, HIP 9884, TYC 1758-2416-1",02.07.10,23.2745,2.02,239.7,128.1,https://in-the-sky.org/data/object.php?id=TYC1758-2416-1,-147.90349927123742,188.62832476413254
Menkent,"Menkent, θ-Cen, Theta Centauri, 5-Cen, 5 Centauri, HR 5288, HD 123139, HIP 68933, TYC 7293-2215-1",14.06.40,-36.2211,2.05,734.4,225.1,https://in-the-sky.org/data/object.php?id=TYC7293-2215-1,-518.3920815064234,-520.2047768248939
Diphda,"Diphda, β-Cet, Beta Ceti, 16-Cet, 16 Ceti, HR 188, HD 4128, NSV 272, HIP 3419, TYC 5847-2333-1",00.43.35,-17.5912,2.05,234.7,82.2,https://in-the-sky.org/data/object.php?id=TYC5847-2333-1,31.852444850331242,232.5285181586478
Alpheratz,"Alpheratz, α-And, Alpha Andromedae, 21-And, 21 Andromedae, HR 15, HD 358, HIP 677, TYC 1735-3180-1",00.08.23,29.0526,2.06,213.6,139.9,https://in-the-sky.org/data/object.php?id=TYC1735-3180-1,-163.38721123617702,137.5848073170322
Saiph,"Saiph, κ-Ori, Kappa Orionis, 53-Ori, 53 Orionis, HR 2004, HD 38771, NSV 2641, HIP 27366, TYC 5351-760-1, Gaia EDR3- 3011968416163350272",05.47.45,-9.401,2.06,1.9,131.2,https://in-the-sky.org/data/object.php?id=TYC5351-760-1,-1.2515099742254925,1.4295883269018768
Kochab,"Kochab, β-UMi, Beta Ursae Minoris, 7-UMi, 7 Ursae Minoris, HR 5563, HD 131873, NSV 6846, HIP 72607, TYC 4416-1799-1",14.50.42,74.0919,2.06,34.6,289.3,https://in-the-sky.org/data/object.php?id=TYC4416-1799-1,11.435797987877523,-32.655512924779735
Nunki,"Nunki, σ-Sgr, Sigma Sagittarii, 34-Sgr, 34 Sagittarii, HR 7121, HD 175191, HIP 92855, TYC 6868-1829-1",18.55.15,-26.1747,2.07,55.5,164.2,https://in-the-sky.org/data/object.php?id=TYC6868-1829-1,-53.403098640875335,15.111553710751892
Mirach,"Mirach, β-And, Beta Andromedae, 43-And, 43 Andromedae, HR 337, HD 6860, NSV 414, HIP 5447, TYC 2286-1329-1",01.09.43,35.3714,2.07,208.6,122.5,https://in-the-sky.org/data/object.php?id=TYC2286-1329-1,-112.08069830114748,175.93145559656793
Rasalhague,"Rasalhague, α-Oph, Alpha Ophiuchi, 55-Oph, 55 Ophiuchi, HR 6556, HD 159561, NSV 9189, HIP 86032, TYC 1000-2508-1",17.34.56,12.3338,2.09,246.5,154.0,https://in-the-sky.org/data/object.php?id=TYC1000-2508-1,-221.5527324127447,108.05848768350755
Algol,"Algol, β-Per, Beta Persei, 26-Per, 26 Persei, HR 936, HD 19356, HIP 14576, TYC 2851-2168-1",03.08.10,40.572,2.11,3.4,119.0,https://in-the-sky.org/data/object.php?id=TYC2851-2168-1,-1.6483527088375458,2.9737070042739457
Tiaki,"β-Gru, Beta Gruis, HR 8636, HD 214952, HIP 112122, TYC 8446-1644-1",22.42.40,-46.5304,2.12,135.2,91.9,https://in-the-sky.org/data/object.php?id=TYC8446-1644-1,-4.482580118128766,135.12566919532557
Denebola,"Denebola, β-Leo, Beta Leonis, 94-Leo, 94 Leonis, HR 4534, HD 102647, HIP 57632, TYC 870-988-1",11.49.03,14.342,2.13,510.7,257.0,https://in-the-sky.org/data/object.php?id=TYC870-988-1,-114.88250345341199,-497.6107920858196
Almach,"Almach, γ¹-And, Gamma1 Andromedae, 57-And, 57 Andromedae, HR 603, HD 12533, HIP 9640, TYC 2837-2311-1",02.03.53,42.1947,2.17,65.0,139.4,https://in-the-sky.org/data/object.php?id=TYC2837-2311-1,-49.35263497676725,42.30032412228031
Suhail,"Suhail, λ-Vel, Lambda Velorum, HR 3634, HD 78647, HIP 44816, TYC 7689-2617-1",09.07.59,-43.2557,2.2,27.6,299.4,https://in-the-sky.org/data/object.php?id=TYC7689-2617-1,13.548943599777884,-24.04550118691723
Sadr,"Sadr, γ-Cyg, Gamma Cygni, 37-Cyg, 37 Cygni, HR 7796, HD 194093, NSV 13048, HIP 100453, TYC 3156-2223-1, Gaia EDR3- 2067518817314952576",20.22.13,40.1524,2.2,2.6,110.8,https://in-the-sky.org/data/object.php?id=TYC3156-2223-1,-0.9232781022611564,2.4305467586296374
Mizar,"Mizar, ζ-UMa, Zeta Ursae Majoris, 79-UMa, 79 Ursae Majoris, HR 5054, HD 116656, NSV 6224, HIP 65378, TYC 3850-1385-1, Gaia EDR3- 1563590579347125632",13.23.55,54.553,2.22,124.6,100.5,https://in-the-sky.org/data/object.php?id=TYC3850-1385-1,-22.70654647632158,122.51356148246875
Alphecca,"Alphecca, α-CrB, Alpha Coronae Borealis, 5-CrB, 5 Coronae Borealis, HR 5793, HD 139006, HIP 76267, TYC 2029-1690-1, Gaia EDR3- 1222646935698492160",15.34.41,26.4251,2.22,147.8,126.4,https://in-the-sky.org/data/object.php?id=TYC2029-1690-1,-87.70731144002707,118.96330324920412
Naos,"Naos, ζ-Pup, Zeta Puppis, HR 3165, HD 66811, HIP 39429, TYC 7663-4093-1, Gaia EDR3- 5534788672055388032",08.03.35,-40.0011,2.22,34.1,299.3,https://in-the-sky.org/data/object.php?id=TYC7663-4093-1,16.687941604635657,-29.737562189935314
Eltanin,"Eltanin, γ-Dra, Gamma Draconis, 33-Dra, 33 Draconis, HR 6705, HD 164058, HIP 87833, TYC 3523-1684-1",17.56.36,51.292,2.23,24.3,200.4,https://in-the-sky.org/data/object.php?id=TYC3523-1684-1,-22.775952344652964,-8.470300749920108
Mintaka,"Mintaka, δ-Ori, Delta Orionis, 34-Ori, 34 Orionis, HR 1852, HD 36486, HIP 25930, TYC 4766-2445-1, Gaia EDR3- 3220756843825383936",05.32.00,-0.1756,2.23,0.9,137.2,https://in-the-sky.org/data/object.php?id=TYC4766-2445-1,-0.6603568780525887,0.6114971738353651
Algieba,"Algieba, γ¹-Leo, Gamma1 Leonis, 41-Leo, 41 Leonis, HR 4057, HD 89484, NSV 4823, HIP 50583, TYC 1423-1349-1",10.19.58,19.503,2.23,341.2,116.9,https://in-the-sky.org/data/object.php?id=TYC1423-1349-1,-154.37072281718028,304.281317101299
Schedar,"Schedar, α-Cas, Alpha Cassiopeiae, 18-Cas, 18 Cassiopeiae, HR 168, HD 3712, HIP 3179, TYC 3663-2668-1, Gaia EDR3- 418551920284673408",00.40.30,56.3213,2.25,58.4,122.7,https://in-the-sky.org/data/object.php?id=TYC3663-2668-1,-31.550034715895052,49.14422966560588
Aspidiske,"Aspidiske, ι-Car, Iota Carinae, HR 3699, HD 80404, NSV 4444, HIP 45556, TYC 8595-3312-1, Gaia EDR3- 5300300156538723328",09.17.05,-59.163,2.25,22.3,302.4,https://in-the-sky.org/data/object.php?id=TYC8595-3312-1,11.94893752803161,-18.828512738694947
Larawag,"ε-Sco, Epsilon Scorpii, 26-Sco, 26 Scorpii, HR 6241, HD 151680, NSV 7983, HIP 82396, TYC 7367-804-1",16.50.09,-34.1735,2.27,666.0,247.4,https://in-the-sky.org/data/object.php?id=TYC7367-804-1,-255.94068489142904,-614.8580045972453
Caph,"Caph, β-Cas, Beta Cassiopeiae, 11-Cas, 11 Cassiopeiae, HR 21, HD 432, HIP 746, TYC 3664-1985-1",00.09.10,59.09,2.28,553.5,109.0,https://in-the-sky.org/data/object.php?id=TYC3664-1985-1,-180.20197349203622,523.3445315942218
Dschubba,"Dschubba, δ-Sco, Delta Scorpii, 7-Sco, 7 Scorpii, HR 5953, HD 143275, HIP 78401, TYC 6779-2194-1",16.00.20,-22.3717,2.3,36.9,196.1,https://in-the-sky.org/data/object.php?id=TYC6779-2194-1,-35.45275078841522,-10.23291070685773
Merak,"Merak, β-UMa, Beta Ursae Majoris, 48-UMa, 48 Ursae Majoris, HR 4295, HD 95418, NSV 5053, HIP 53910, TYC 3827-1079-1",11.01.50,56.2256,2.35,88.0,67.6,https://in-the-sky.org/data/object.php?id=TYC3827-1079-1,33.534193118824135,81.36005095788356
Ankaa,"Ankaa, α-Phe, Alpha Phoenicis, HR 99, HD 2261, HIP 2081, TYC 7527-1031-1",00.26.17,-42.1821,2.38,425.7,146.8,https://in-the-sky.org/data/object.php?id=TYC7527-1031-1,-356.21056823948,233.09766424077864
Enif,"Enif, ε-Peg, Epsilon Pegasi, 8-Peg, 8 Pegasi, HR 8308, HD 206778, HIP 107315, TYC 1125-2186-1",21.44.11,9.523,2.39,26.9,89.1,https://in-the-sky.org/data/object.php?id=TYC1125-2186-1,0.4225268356879814,26.896681413756667
Phecda,"Phecda, γ-UMa, Gamma Ursae Majoris, 64-UMa, 64 Ursae Majoris, HR 4554, HD 103287, NSV 5379, HIP 58001, TYC 3833-1034-1",11.53.49,53.4141,2.39,108.2,84.2,https://in-the-sky.org/data/object.php?id=TYC3833-1034-1,10.934291355194793,107.64609269527489
Sabik,"Sabik, η-Oph, Eta Ophiuchi, 35-Oph, 35 Ophiuchi, HR 6378, HD 155125, HIP 84012, TYC 6232-1333-1",17.10.22,-15.433,2.43,107.0,22.0,https://in-the-sky.org/data/object.php?id=TYC6232-1333-1,99.20867243864626,40.08290549550259
Aludra,"Aludra, η-CMa, Eta Canis Majoris, 31-CMa, 31 Canis Majoris, HR 2827, HD 58350, HIP 35904, TYC 6550-4525-1, Gaia EDR3- 5605797194566011520",07.24.05,-29.1811,2.46,7.1,324.5,https://in-the-sky.org/data/object.php?id=TYC6550-4525-1,5.780220180329867,-4.122990985547672
Aljanah,"ε-Cyg, Epsilon Cygni, 53-Cyg, 53 Cygni, HR 7949, HD 197989, HIP 102488, TYC 2695-4139-1",20.46.12,33.5812,2.46,485.6,47.1,https://in-the-sky.org/data/object.php?id=TYC2695-4139-1,330.55805396645053,355.7228316511511
Alderamin,"Alderamin, α-Cep, Alpha Cephei, 5-Cep, 5 Cephei, HR 8162, HD 203280, NSV 13660, HIP 105199, TYC 4252-1870-1",21.18.34,62.3507,2.47,158.4,71.9,https://in-the-sky.org/data/object.php?id=TYC4252-1870-1,49.21114645350791,150.56169188984094
Scheat,"Scheat, β-Peg, Beta Pegasi, 53-Peg, 53 Pegasi, HR 8775, HD 217906, HIP 113881, TYC 2243-1831-1",23.03.46,28.0458,2.48,232.3,53.9,https://in-the-sky.org/data/object.php?id=TYC2243-1831-1,136.87031381318138,187.6960500295125
Markeb,"κ-Vel, Kappa Velorum, HR 3734, HD 81188, HIP 45941, TYC 8588-4200-1, Gaia EDR3- 5310393535853560576",09.22.06,-55.0038,2.48,16.2,315.3,https://in-the-sky.org/data/object.php?id=TYC8588-4200-1,11.514951476742482,-11.394994185530159
Markab,"Markab, α-Peg, Alpha Pegasi, 54-Peg, 54 Pegasi, HR 8781, HD 218045, NSV 14417, HIP 113963, TYC 1711-2475-1",23.04.45,15.1219,2.49,73.2,124.4,https://in-the-sky.org/data/object.php?id=TYC1711-2475-1,-41.35558465070545,60.39830807397121
Menkar,"Menkar, α-Cet, Alpha Ceti, 92-Cet, 92 Ceti, HR 911, HD 18884, HIP 14135, TYC 58-1618-1",03.02.16,4.0523,2.54,77.6,187.7,https://in-the-sky.org/data/object.php?id=TYC58-1618-1,-76.9002962978713,-10.39732798845946
Zosma,"Zosma, δ-Leo, Delta Leonis, 68-Leo, 68 Leonis, HR 4357, HD 97603, NSV 5143, HIP 54872, TYC 1439-2479-1",11.14.06,20.3126,2.56,193.5,132.2,https://in-the-sky.org/data/object.php?id=TYC1439-2479-1,-129.97793403399857,143.34568938148615
Arneb,"Arneb, α-Lep, Alpha Leporis, 11-Lep, 11 Leporis, HR 1865, HD 36673, NSV 2128, HIP 25985, TYC 5920-1685-1, Gaia EDR3- 2971266110612490624",05.32.43,-17.492,2.59,3.7,66.2,https://in-the-sky.org/data/object.php?id=TYC5920-1685-1,1.493117596503843,3.3853507710443522
Gienah,"Gienah, γ-Crv, Gamma Corvi, 4-Crv, 4 Corvi, HR 4662, HD 106625, NSV 5515, HIP 59803, TYC 6098-1754-1",12.15.48,-17.3231,2.59,160.1,277.8,https://in-the-sky.org/data/object.php?id=TYC6098-1754-1,21.728063146732165,-158.6187292594781
Zubeneschamali,"Zubeneschamali, β-Lib, Beta Librae, 27-Lib, 27 Librae, HR 5685, HD 135742, NSV 7009, HIP 74785, TYC 5585-1014-1",15.17.00,-9.2258,2.61,100.0,258.7,https://in-the-sky.org/data/object.php?id=TYC5585-1014-1,-19.5946144242518,-98.06146585466131
Ascella,"Ascella, ζ-Sgr, Zeta Sagittarii, 38-Sgr, 38 Sagittarii, HR 7194, HD 176687, HIP 93506, TYC 6885-2837-1, Gaia EDR3- 6760703042771435136",19.02.36,-29.5248,2.61,23.7,27.1,https://in-the-sky.org/data/object.php?id=TYC6885-2837-1,21.0980434692837,10.79641430143432
Acrab,"Acrab, β¹-Sco, Beta1 Scorpii, 8-Sco, 8 Scorpii, HR 5984, HD 144217, NSV 7424, HIP 78820, TYC 6208-1623-1",16.05.26,-19.4819,2.62,24.6,192.2,https://in-the-sky.org/data/object.php?id=TYC6208-1623-1,-24.04443099943796,-5.198589992802559
Unukalhai,"Unukalhai, α-Ser, Alpha Serpentis Caput, 24-Ser, 24 Serpentis Caput, HR 5854, HD 140573, HIP 77070, TYC 363-1135-1, Gaia EDR3- 4429785739602747392",15.44.16,6.2532,2.63,141.5,71.2,https://in-the-sky.org/data/object.php?id=TYC363-1135-1,45.60059587511733,133.95087030637103
Lesath,"Lesath, υ-Sco, Upsilon Scorpii, 34-Sco, 34 Scorpii, HR 6508, HD 158408, HIP 85696, TYC 7387-1249-1",17.30.45,-37.1744,2.64,30.2,184.5,https://in-the-sky.org/data/object.php?id=TYC7387-1249-1,-30.106903478740463,-2.3694646909809136
Mahasim,"θ-Aur, Theta Aurigae, 37-Aur, 37 Aurigae, HR 2095, HD 40312, HIP 28380, TYC 2418-1573-1",05.59.43,37.1246,2.65,85.7,149.4,https://in-the-sky.org/data/object.php?id=TYC2418-1573-1,-73.76559171423798,43.62484932980681
Sheratan,"Sheratan, β-Ari, Beta Arietis, 6-Ari, 6 Arietis, HR 553, HD 11636, NSV 658, HIP 8903, TYC 1212-1935-1",01.54.38,20.4829,2.66,148.1,138.2,https://in-the-sky.org/data/object.php?id=TYC1212-1935-1,-110.40499555303184,98.71345884394397
Phact,"Phact, α-Col, Alpha Columbae, HR 1956, HD 37795, NSV 2549, HIP 26634, TYC 7064-1357-1, Gaia EDR3- 2900546759663847168",05.39.38,-34.0427,2.66,24.4,176.0,https://in-the-sky.org/data/object.php?id=TYC7064-1357-1,-24.34056282633971,1.7020579593566627
Kraz,"β-Crv, Beta Corvi, 9-Crv, 9 Corvi, HR 4786, HD 109379, NSV 5729, HIP 61359, TYC 6683-1116-1, Gaia EDR3- 3501215734352781440",12.34.23,-23.2349,2.66,56.7,178.9,https://in-the-sky.org/data/object.php?id=TYC6683-1116-1,-56.68955087729723,1.0884949840623936
Hassaleh,"ι-Aur, Iota Aurigae, 3-Aur, 3 Aurigae, HR 1577, HD 31398, NSV 1778, HIP 23015, TYC 2391-1446-1, Gaia EDR3- 160886283751041408",04.56.59,33.0957,2.66,18.2,167.9,https://in-the-sky.org/data/object.php?id=TYC2391-1446-1,-17.795654909006632,3.8150578448495542
Kaus Media,"Kaus Media, δ-Sgr, Delta Sagittarii, 19-Sgr, 19 Sagittarii, HR 6859, HD 168454, HIP 89931, TYC 6856-2170-1, Gaia EDR3- 4049506483413484672",18.20.59,-29.4941,2.68,43.0,129.5,https://in-the-sky.org/data/object.php?id=TYC6856-2170-1,-27.351363471943856,33.179857085671955
Ruchbah,"Ruchbah, δ-Cas, Delta Cassiopeiae, 37-Cas, 37 Cassiopeiae, HR 403, HD 8538, HIP 6686, TYC 4031-3289-1, Gaia EDR3- 510204838759030144",01.25.49,60.1406,2.68,300.5,99.4,https://in-the-sky.org/data/object.php?id=TYC4031-3289-1,-49.079451653607535,296.4649345628943
Muphrid,"Muphrid, η-Boo, Eta Bootis, 8-Boo, 8 Bootis, HR 5235, HD 121370, HIP 67927, TYC 1470-1157-1",13.54.41,18.2354,2.68,361.5,189.7,https://in-the-sky.org/data/object.php?id=TYC1470-1157-1,-356.3318040756206,-60.90891071274828
Tarazed,"Tarazed, γ-Aql, Gamma Aquilae, 50-Aql, 50 Aquilae, HR 7525, HD 186791, HIP 97278, TYC 1061-2577-1, Gaia EDR3- 4302054339959905920",19.46.15,10.3647,2.69,16.3,94.8,https://in-the-sky.org/data/object.php?id=TYC1061-2577-1,-1.36394884631674,16.242833605766922
Izar,"Izar, ε-Boo, Epsilon Bootis, 36-Boo, 36 Bootis, HR 5506, HD 129989",14.44.59,27.0427,2.7,,,https://in-the-sky.org/data/object.php?id=HD129989,,
Zubenelgenubi,"Zubenelgenubi, α²-Lib, Alpha2 Librae, 9-Lib, 9 Librae, HR 5531, HD 130841, NSV 6827, HIP 72622, TYC 6155-1210-1",14.50.52,-16.023,2.73,125.9,237.1,https://in-the-sky.org/data/object.php?id=TYC6155-1210-1,-68.38566324878944,-105.70814094488263
Yed Prior,"Yed Prior, δ-Oph, Delta Ophiuchi, 1-Oph, 1 Ophiuchi, HR 6056, HD 146051, NSV 7556, HIP 79593, TYC 5037-1068-1, Gaia EDR3- 4357027756659697664",16.14.20,-3.4141,2.73,151.4,197.4,https://in-the-sky.org/data/object.php?id=TYC5037-1068-1,-144.47198573736432,-45.27477594757153
Athebyne,"η-Dra, Eta Draconis, 14-Dra, 14 Draconis, HR 6132, HD 148387, NSV 7713, HIP 80331, TYC 4190-2568-1, Gaia EDR3- 1625209684868707328",16.23.59,61.3052,2.73,59.4,344.0,https://in-the-sky.org/data/object.php?id=TYC4190-2568-1,57.098944738736144,-16.372858935529738
Imai,"δ-Cru, Delta Crucis, HR 4656, HD 106490, HIP 59747, TYC 8645-2263-1, Gaia EDR3- 6071060144089351808",12.15.08,-58.4456,2.74,38.6,253.0,https://in-the-sky.org/data/object.php?id=TYC8645-2263-1,-11.285547802297653,-36.91336358017316
Porrima,"Porrima, γ-Vir, Gamma Virginis, 29-Vir, 29 Virginis, HR 4825, HD 110379, NSV 5859, HIP 61941",12.41.40,-1.2658,2.74,617.8,275.7,https://in-the-sky.org/data/object.php?id=HIP61941,61.359741391620084,-614.7453311220456
Cebalrai,"Cebalrai, β-Oph, Beta Ophiuchi, 60-Oph, 60 Ophiuchi, HR 6603, HD 161096, HIP 86742, TYC 423-1724-1, Gaia EDR3- 4473334474604992384",17.43.28,4.3404,2.75,164.8,345.3,https://in-the-sky.org/data/object.php?id=TYC423-1724-1,159.4057256574645,-41.81930926757601
Paikauhale,"τ-Sco, Tau Scorpii, 23-Sco, 23 Scorpii, HR 6165, HD 149438, HIP 81266, TYC 6807-1012-1, Gaia EDR3- 6044420729667868928",16.35.52,-28.1258,2.78,24.9,203.4,https://in-the-sky.org/data/object.php?id=TYC6807-1012-1,-22.852090179531125,-9.88898247680604
Hatysa,"ι-Ori, Iota Orionis, 44-Ori, 44 Orionis, HR 1899, HD 37043, NSV 2334, HIP 26241, TYC 4778-1401-1",05.35.25,-5.5435,2.78,1.5,107.9,https://in-the-sky.org/data/object.php?id=TYC4778-1401-1,-0.4610349266997107,1.4273916058191571
Kornephoros,"Kornephoros, β-Her, Beta Herculis, 27-Her, 27 Herculis, HR 6148, HD 148856, NSV 7778, HIP 80816, TYC 1518-1442-1, Gaia EDR3- 1297565458994346240",16.30.13,21.2922,2.78,99.9,261.4,https://in-the-sky.org/data/object.php?id=TYC1518-1442-1,-14.938580810026643,-98.77676246659588
Cursa,"Cursa, β-Eri, Beta Eridani, 67-Eri, 67 Eridani, HR 1666, HD 33111, NSV 1841, HIP 23875, TYC 4759-1671-1",05.07.51,-5.051,2.79,112.0,227.7,https://in-the-sky.org/data/object.php?id=TYC4759-1671-1,-75.37740151309465,-82.83868263760426
Rastaban,"Rastaban, β-Dra, Beta Draconis, 23-Dra, 23 Draconis, HR 6536, HD 159181, HIP 85670, TYC 3521-1800-1, Gaia EDR3- 1415230383034813824",17.30.25,52.1805,2.8,19.7,305.2,https://in-the-sky.org/data/object.php?id=TYC3521-1800-1,11.355716628544924,-16.097754497202033
Kaus Borealis,"Kaus Borealis, λ-Sgr, Lambda Sagittarii, 22-Sgr, 22 Sagittarii, HR 6913, HD 169916, HIP 90496, TYC 6861-3180-1, Gaia EDR3- 4076915349846977664",18.27.58,-25.2521,2.81,190.7,194.0,https://in-the-sky.org/data/object.php?id=TYC6861-3180-1,-185.03539500083252,-46.13450549085659
Vindemiatrix,"Vindemiatrix, ε-Vir, Epsilon Virginis, 47-Vir, 47 Virginis, HR 4932, HD 113226, NSV 6064, HIP 63608, TYC 886-1326-1, Gaia EDR3- 3736865265441207424",13.02.10,10.5733,2.82,274.5,274.1,https://in-the-sky.org/data/object.php?id=TYC886-1326-1,19.626048469322473,-273.79749491454413
Tureis,"Tureis, ρ-Pup, Rho Puppis, 15-Pup, 15 Puppis, HR 3185, HD 67523, HIP 39757, TYC 6555-3245-1, Gaia EDR3- 5698015743046182272",08.07.32,-24.1814,2.83,95.2,299.5,https://in-the-sky.org/data/object.php?id=TYC6555-3245-1,46.87872292185005,-82.85786225347846
Algenib,"Algenib, γ-Peg, Gamma Pegasi, 88-Peg, 88 Pegasi, HR 39, HD 886, HIP 1067, TYC 1179-1775-1, Gaia EDR3- 2769202742740232960",00.13.14,15.11,2.84,10.7,177.4,https://in-the-sky.org/data/object.php?id=TYC1179-1775-1,-10.688985096760646,0.48538397298301506
Nihal,"Nihal, β-Lep, Beta Leporis, 9-Lep, 9 Leporis, HR 1829, HD 36079, NSV 2008, HIP 25606, TYC 5928-1657-1, Gaia EDR3- 2968097043227107840",05.28.14,-20.4532,2.84,86.2,183.3,https://in-the-sky.org/data/object.php?id=TYC5928-1657-1,-86.05706459212925,-4.962019123914725
Deneb Algedi,"δ-Cap, Delta Capricorni, 49-Cap, 49 Capricorni, HR 8322, HD 207098, HIP 107556, TYC 6363-1044-1, Gaia EDR3- 6838311796136238976",21.47.02,-16.0742,2.85,394.3,138.8,https://in-the-sky.org/data/object.php?id=TYC6363-1044-1,-296.6771985775842,259.7212541247957
Deneb Algedi,"δ-Cap, Delta Capricorni, 49-Cap, 49 Capricorni, HR 8322, HD 207098, HIP 107556, TYC 6363-1044-1, Gaia EDR3- 6838311796136238976",21.47.02,-16.0742,2.85,394.3,138.8,https://in-the-sky.org/data/object.php?id=TYC6363-1044-1,-296.6771985775842,259.7212541247957
Alcyone,"Alcyone, η-Tau, Eta Tauri, 25-Tau, 25 Tauri, HR 1165, HD 23630, HIP 17702, TYC 1800-2202-1, Gaia EDR3- 66714384142368256",03.47.29,24.0617,2.88,47.8,156.1,https://in-the-sky.org/data/object.php?id=TYC1800-2202-1,-43.701339060197796,19.365767848077446
Gomeisa,"Gomeisa, β-CMi, Beta Canis Minoris, 3-CMi, 3 Canis Minoris, HR 2845, HD 58715, HIP 36188, TYC 764-2774-1",07.27.09,8.1721,2.89,64.4,233.5,https://in-the-sky.org/data/object.php?id=TYC764-2774-1,-38.30658746678641,-51.76838182374878
Cor Caroli,"Cor Caroli, α²-CVn, Alpha2 Canum Venaticorum, 12-CVn, 12 Canum Venaticorum, HR 4915, HD 112413, HIP 63125, TYC 3021-2645-1, Gaia EDR3- 1517698716348324992",12.56.01,38.1907,2.89,240.2,283.2,https://in-the-sky.org/data/object.php?id=TYC3021-2645-1,54.849879000579435,-233.85365247013308
Fang,"π-Sco, Pi Scorpii, 6-Sco, 6 Scorpii, HR 5944, HD 143018, NSV 7371, HIP 78265, TYC 6783-2697-1, Gaia EDR3- 6235406071207202688",15.58.51,-26.0651,2.89,29.0,205.3,https://in-the-sky.org/data/object.php?id=TYC6783-2697-1,-26.218393940162574,-12.393378038228578
Sadalsuud,"Sadalsuud, β-Aqr, Beta Aquarii, 22-Aqr, 22 Aquarii, HR 8232, HD 204867, HIP 106278, TYC 5216-1725-1, Gaia EDR3- 2671038928727970944",21.31.33,-5.3416,2.89,20.9,113.0,https://in-the-sky.org/data/object.php?id=TYC5216-1725-1,-8.166280585425822,19.238551437156
Tejat,"μ-Gem, Mu Geminorum, 13-Gem, 13 Geminorum, HR 2286, HD 44478, HIP 30343, TYC 1878-1429-1",06.22.57,22.3049,2.9,123.6,152.9,https://in-the-sky.org/data/object.php?id=TYC1878-1429-1,-110.03030264993524,56.30535053406252
Albaldah,"π-Sgr, Pi Sagittarii, 41-Sgr, 41 Sagittarii, HR 7264, HD 178524, NSV 11769, HIP 94141, TYC 6295-282-1, Gaia EDR3- 4082115215112774272",19.09.45,-21.0125,2.9,36.8,182.1,https://in-the-sky.org/data/object.php?id=TYC6295-282-1,-36.77528489105455,-1.3484884804012642
Alniyat,"σ-Sco, Sigma Scorpii, 20-Sco, 20 Scorpii, HR 6084, HD 147165, HIP 80112, TYC 6798-540-1, Gaia EDR3- 6048602103663486592",16.21.11,-25.3534,2.9,19.4,213.1,https://in-the-sky.org/data/object.php?id=TYC6798-540-1,-16.251743102436514,-10.59437804367992
Fawaris,"δ-Cyg, Delta Cygni, 18-Cyg, 18 Cygni, HR 7528, HD 186882, NSV 12380, HIP 97165, TYC 3557-2486-1, Gaia EDR3- 2079784488001577600",19.44.58,45.0751,2.91,63.2,41.5,https://in-the-sky.org/data/object.php?id=TYC3557-2486-1,47.334001553864944,41.87758704723461
Matar,"Matar, η-Peg, Eta Pegasi, 44-Peg, 44 Pegasi, HR 8650, HD 215182, NSV 14285, HIP 112158, TYC 2736-1823-1",22.43.00,30.1316,2.93,28.8,152.9,https://in-the-sky.org/data/object.php?id=TYC2736-1823-1,-25.638128772800442,13.119693328325248
Sadalmelik,"Sadalmelik, α-Aqr, Alpha Aquarii, 34-Aqr, 34 Aquarii, HR 8414, HD 209750, HIP 109074, TYC 5224-1806-1, Gaia EDR3- 2680356911816018048",22.05.47,-0.1911,2.93,21.3,119.3,https://in-the-sky.org/data/object.php?id=TYC5224-1806-1,-10.423846222250427,18.575075502804168
Okab,"ζ-Aql, Zeta Aquilae, 17-Aql, 17 Aquilae, HR 7235, HD 177724, NSV 11724, HIP 93747, TYC 1052-3027-1, Gaia EDR3- 4314399312979641728",19.05.24,13.5146,2.95,96.1,183.9,https://in-the-sky.org/data/object.php?id=TYC1052-3027-1,-95.87745919610167,-6.536269432930356
Zaurak,"Zaurak, γ-Eri, Gamma Eridani, 34-Eri, 34 Eridani, HR 1231, HD 25025, HIP 18543, TYC 5311-1285-1",03.58.01,-13.303,2.96,128.8,151.4,https://in-the-sky.org/data/object.php?id=TYC5311-1285-1,-113.0842072351239,61.65551130275018
Alnasl,"Alnasl, γ-Sgr, Gamma Sagittarii, 10-Sgr, 10 Sagittarii, HR 6746, HD 165135, NSV 10173, HIP 88635, TYC 7391-2710-1",18.05.48,-30.2526,2.96,188.8,196.6,https://in-the-sky.org/data/object.php?id=TYC7391-2710-1,-180.93130205901716,-53.93796376605902
Algorab,"Algorab, δ-Crv, Delta Corvi, 7-Crv, 7 Corvi, HR 4757, HD 108767, NSV 5656, HIP 60965, TYC 6103-2395-1, Gaia EDR3- 3520586071217872896",12.29.51,-16.3057,2.97,251.3,236.4,https://in-the-sky.org/data/object.php?id=TYC6103-2395-1,-139.0672963248524,-209.313107790448
Aldhanab,"γ-Gru, Gamma Gruis, HR 8353, HD 207971, HIP 108085, TYC 7494-1748-1",21.53.55,-37.2153,2.98,99.0,97.7,https://in-the-sky.org/data/object.php?id=TYC7494-1748-1,-13.264632356410916,98.10733677176879
