Common Name,Alternative Names,Right Ascension,Declination,Magnitude
Aludra,"['Aludra', 'η-CMa', 'Eta Canis Majoris', '31-CMa', '31 Canis Majoris', 'HR 2827', 'HD 58350', 'HIP 35904', 'TYC 6550-4525-1', 'Gaia EDR3- 5605797194566011520']",07h24m05s,"-29°18'11""",2.46
,"['ε-Cyg', 'Epsilon Cygni', '53-Cyg', '53 Cygni', 'HR 7949', 'HD 197989', 'HIP 102488', 'TYC 2695-4139-1']",20h46m12s,"+33°58'12""",2.46
Alderamin,"['Alderamin', 'α-Cep', 'Alpha Cephei', '5-Cep', '5 Cephei', 'HR 8162', 'HD 203280', 'NSV 13660', 'HIP 105199', 'TYC 4252-1870-1']",21h18m34s,"+62°35'07""",2.47
Scheat,"['Scheat', 'β-Peg', 'Beta Pegasi', '53-Peg', '53 Pegasi', 'HR 8775', 'HD 217906', 'HIP 113881', 'TYC 2243-1831-1']",23h03m46s,"+28°04'58""",2.48
,"['κ-Vel', 'Kappa Velorum', 'HR 3734', 'HD 81188', 'HIP 45941', 'TYC 8588-4200-1', 'Gaia EDR3- 5310393535853560576']",09h22m06s,"-55°00'38""",2.48
Markab,"['Markab', 'α-Peg', 'Alpha Pegasi', '54-Peg', '54 Pegasi', 'HR 8781', 'HD 218045', 'NSV 14417', 'HIP 113963', 'TYC 1711-2475-1']",23h04m45s,"+15°12'19""",2.49
Menkar,"['Menkar', 'α-Cet', 'Alpha Ceti', '92-Cet', '92 Ceti', 'HR 911', 'HD 18884', 'HIP 14135', 'TYC 58-1618-1']",03h02m16s,"+04°05'23""",2.54
Zosma,"['Zosma', 'δ-Leo', 'Delta Leonis', '68-Leo', '68 Leonis', 'HR 4357', 'HD 97603', 'NSV 5143', 'HIP 54872', 'TYC 1439-2479-1']",11h14m06s,"+20°31'26""",2.56
Arneb,"['Arneb', 'α-Lep', 'Alpha Leporis', '11-Lep', '11 Leporis', 'HR 1865', 'HD 36673', 'NSV 2128', 'HIP 25985', 'TYC 5920-1685-1', 'Gaia EDR3- 2971266110612490624']",05h32m43s,"-17°49'20""",2.59
Gienah,"['Gienah', 'γ-Crv', 'Gamma Corvi', '4-Crv', '4 Corvi', 'HR 4662', 'HD 106625', 'NSV 5515', 'HIP 59803', 'TYC 6098-1754-1']",12h15m48s,"-17°32'31""",2.59
Zubeneschamali,"['Zubeneschamali', 'β-Lib', 'Beta Librae', '27-Lib', '27 Librae', 'HR 5685', 'HD 135742', 'NSV 7009', 'HIP 74785', 'TYC 5585-1014-1']",15h17m00s,"-09°22'58""",2.61
Ascella,"['Ascella', 'ζ-Sgr', 'Zeta Sagittarii', '38-Sgr', '38 Sagittarii', 'HR 7194', 'HD 176687', 'HIP 93506', 'TYC 6885-2837-1', 'Gaia EDR3- 6760703042771435136']",19h02m36s,"-29°52'48""",2.61
Acrab,"['Acrab', 'β¹-Sco', 'Beta1 Scorpii', '8-Sco', '8 Scorpii', 'HR 5984', 'HD 144217', 'NSV 7424', 'HIP 78820', 'TYC 6208-1623-1']",16h05m26s,"-19°48'19""",2.62
Unukalhai,"['Unukalhai', 'α-Ser', 'Alpha Serpentis Caput', '24-Ser', '24 Serpentis Caput', 'HR 5854', 'HD 140573', 'HIP 77070', 'TYC 363-1135-1', 'Gaia EDR3- 4429785739602747392']",15h44m16s,"+06°25'32""",2.63
Lesath,"['Lesath', 'υ-Sco', 'Upsilon Scorpii', '34-Sco', '34 Scorpii', 'HR 6508', 'HD 158408', 'HIP 85696', 'TYC 7387-1249-1']",17h30m45s,"-37°17'44""",2.64
,"['θ-Aur', 'Theta Aurigae', '37-Aur', '37 Aurigae', 'HR 2095', 'HD 40312', 'HIP 28380', 'TYC 2418-1573-1']",05h59m43s,"+37°12'46""",2.65
Sheratan,"['Sheratan', 'β-Ari', 'Beta Arietis', '6-Ari', '6 Arietis', 'HR 553', 'HD 11636', 'NSV 658', 'HIP 8903', 'TYC 1212-1935-1']",01h54m38s,"+20°48'29""",2.66
Phact,"['Phact', 'α-Col', 'Alpha Columbae', 'HR 1956', 'HD 37795', 'NSV 2549', 'HIP 26634', 'TYC 7064-1357-1', 'Gaia EDR3- 2900546759663847168']",05h39m38s,"-34°04'27""",2.66
,"['β-Crv', 'Beta Corvi', '9-Crv', '9 Corvi', 'HR 4786', 'HD 109379', 'NSV 5729', 'HIP 61359', 'TYC 6683-1116-1', 'Gaia EDR3- 3501215734352781440']",12h34m23s,"-23°23'49""",2.66
,"['ι-Aur', 'Iota Aurigae', '3-Aur', '3 Aurigae', 'HR 1577', 'HD 31398', 'NSV 1778', 'HIP 23015', 'TYC 2391-1446-1', 'Gaia EDR3- 160886283751041408']",04h56m59s,"+33°09'57""",2.66
Ruchbah,"['Ruchbah', 'δ-Cas', 'Delta Cassiopeiae', '37-Cas', '37 Cassiopeiae', 'HR 403', 'HD 8538', 'HIP 6686', 'TYC 4031-3289-1', 'Gaia EDR3- 510204838759030144']",01h25m49s,"+60°14'06""",2.68
Muphrid,"['Muphrid', 'η-Boo', 'Eta Bootis', '8-Boo', '8 Bootis', 'HR 5235', 'HD 121370', 'HIP 67927', 'TYC 1470-1157-1']",13h54m41s,"+18°23'54""",2.68
Tarazed,"['Tarazed', 'γ-Aql', 'Gamma Aquilae', '50-Aql', '50 Aquilae', 'HR 7525', 'HD 186791', 'HIP 97278', 'TYC 1061-2577-1', 'Gaia EDR3- 4302054339959905920']",19h46m15s,"+10°36'47""",2.69
Izar,"['Izar', 'ε-Boo', 'Epsilon Bootis', '36-Boo', '36 Bootis', 'HR 5506', 'HD 129989']",14h44m59s,"+27°04'27""",2.70
Zubenelgenubi,"['Zubenelgenubi', 'α²-Lib', 'Alpha2 Librae', '9-Lib', '9 Librae', 'HR 5531', 'HD 130841', 'NSV 6827', 'HIP 72622', 'TYC 6155-1210-1']",14h50m52s,"-16°02'30""",2.73
,"['η-Dra', 'Eta Draconis', '14-Dra', '14 Draconis', 'HR 6132', 'HD 148387', 'NSV 7713', 'HIP 80331', 'TYC 4190-2568-1', 'Gaia EDR3- 1625209684868707328']",16h23m59s,"+61°30'52""",2.73
,"['δ-Cru', 'Delta Crucis', 'HR 4656', 'HD 106490', 'HIP 59747', 'TYC 8645-2263-1', 'Gaia EDR3- 6071060144089351808']",12h15m08s,"-58°44'56""",2.74
Porrima,"['Porrima', 'γ-Vir', 'Gamma Virginis', '29-Vir', '29 Virginis', 'HR 4825', 'HD 110379', 'NSV 5859', 'HIP 61941']",12h41m40s,"-01°26'58""",2.74
Cebalrai,"['Cebalrai', 'β-Oph', 'Beta Ophiuchi', '60-Oph', '60 Ophiuchi', 'HR 6603', 'HD 161096', 'HIP 86742', 'TYC 423-1724-1', 'Gaia EDR3- 4473334474604992384']",17h43m28s,"+04°34'04""",2.75
,"['τ-Sco', 'Tau Scorpii', '23-Sco', '23 Scorpii', 'HR 6165', 'HD 149438', 'HIP 81266', 'TYC 6807-1012-1', 'Gaia EDR3- 6044420729667868928']",16h35m52s,"-28°12'58""",2.78
,"['ι-Ori', 'Iota Orionis', '44-Ori', '44 Orionis', 'HR 1899', 'HD 37043', 'NSV 2334', 'HIP 26241', 'TYC 4778-1401-1']",05h35m25s,"-05°54'35""",2.78
Kornephoros,"['Kornephoros', 'β-Her', 'Beta Herculis', '27-Her', '27 Herculis', 'HR 6148', 'HD 148856', 'NSV 7778', 'HIP 80816', 'TYC 1518-1442-1', 'Gaia EDR3- 1297565458994346240']",16h30m13s,"+21°29'22""",2.78
Cursa,"['Cursa', 'β-Eri', 'Beta Eridani', '67-Eri', '67 Eridani', 'HR 1666', 'HD 33111', 'NSV 1841', 'HIP 23875', 'TYC 4759-1671-1']",05h07m51s,"-05°05'10""",2.79
Rastaban,"['Rastaban', 'β-Dra', 'Beta Draconis', '23-Dra', '23 Draconis', 'HR 6536', 'HD 159181', 'HIP 85670', 'TYC 3521-1800-1', 'Gaia EDR3- 1415230383034813824']",17h30m25s,"+52°18'05""",2.80
Vindemiatrix,"['Vindemiatrix', 'ε-Vir', 'Epsilon Virginis', '47-Vir', '47 Virginis', 'HR 4932', 'HD 113226', 'NSV 6064', 'HIP 63608', 'TYC 886-1326-1', 'Gaia EDR3- 3736865265441207424']",13h02m10s,"+10°57'33""",2.82
Tureis,"['Tureis', 'ρ-Pup', 'Rho Puppis', '15-Pup', '15 Puppis', 'HR 3185', 'HD 67523', 'HIP 39757', 'TYC 6555-3245-1', 'Gaia EDR3- 5698015743046182272']",08h07m32s,"-24°18'14""",2.83
Algenib,"['Algenib', 'γ-Peg', 'Gamma Pegasi', '88-Peg', '88 Pegasi', 'HR 39', 'HD 886', 'HIP 1067', 'TYC 1179-1775-1', 'Gaia EDR3- 2769202742740232960']",00h13m14s,"+15°11'00""",2.84
Nihal,"['Nihal', 'β-Lep', 'Beta Leporis', '9-Lep', '9 Leporis', 'HR 1829', 'HD 36079', 'NSV 2008', 'HIP 25606', 'TYC 5928-1657-1', 'Gaia EDR3- 2968097043227107840']",05h28m14s,"-20°45'32""",2.84
Alcyone,"['Alcyone', 'η-Tau', 'Eta Tauri', '25-Tau', '25 Tauri', 'HR 1165', 'HD 23630', 'HIP 17702', 'TYC 1800-2202-1', 'Gaia EDR3- 66714384142368256']",03h47m29s,"+24°06'17""",2.88
Gomeisa,"['Gomeisa', 'β-CMi', 'Beta Canis Minoris', '3-CMi', '3 Canis Minoris', 'HR 2845', 'HD 58715', 'HIP 36188', 'TYC 764-2774-1']",07h27m09s,"+08°17'21""",2.89
,"['π-Sco', 'Pi Scorpii', '6-Sco', '6 Scorpii', 'HR 5944', 'HD 143018', 'NSV 7371', 'HIP 78265', 'TYC 6783-2697-1', 'Gaia EDR3- 6235406071207202688']",15h58m51s,"-26°06'51""",2.89
Sadalsuud,"['Sadalsuud', 'β-Aqr', 'Beta Aquarii', '22-Aqr', '22 Aquarii', 'HR 8232', 'HD 204867', 'HIP 106278', 'TYC 5216-1725-1', 'Gaia EDR3- 2671038928727970944']",21h31m33s,"-05°34'16""",2.89
,"['μ-Gem', 'Mu Geminorum', '13-Gem', '13 Geminorum', 'HR 2286', 'HD 44478', 'HIP 30343', 'TYC 1878-1429-1']",06h22m57s,"+22°30'49""",2.90
,"['π-Sgr', 'Pi Sagittarii', '41-Sgr', '41 Sagittarii', 'HR 7264', 'HD 178524', 'NSV 11769', 'HIP 94141', 'TYC 6295-282-1', 'Gaia EDR3- 4082115215112774272']",19h09m45s,"-21°01'25""",2.90
,"['σ-Sco', 'Sigma Scorpii', '20-Sco', '20 Scorpii', 'HR 6084', 'HD 147165', 'HIP 80112', 'TYC 6798-540-1', 'Gaia EDR3- 6048602103663486592']",16h21m11s,"-25°35'34""",2.90
,"['δ-Cyg', 'Delta Cygni', '18-Cyg', '18 Cygni', 'HR 7528', 'HD 186882', 'NSV 12380', 'HIP 97165', 'TYC 3557-2486-1', 'Gaia EDR3- 2079784488001577600']",19h44m58s,"+45°07'51""",2.91
Matar,"['Matar', 'η-Peg', 'Eta Pegasi', '44-Peg', '44 Pegasi', 'HR 8650', 'HD 215182', 'NSV 14285', 'HIP 112158', 'TYC 2736-1823-1']",22h43m00s,"+30°13'16""",2.93
Sadalmelik,"['Sadalmelik', 'α-Aqr', 'Alpha Aquarii', '34-Aqr', '34 Aquarii', 'HR 8414', 'HD 209750', 'HIP 109074', 'TYC 5224-1806-1', 'Gaia EDR3- 2680356911816018048']",22h05m47s,"-00°19'11""",2.93
,"['ζ-Aql', 'Zeta Aquilae', '17-Aql', '17 Aquilae', 'HR 7235', 'HD 177724', 'NSV 11724', 'HIP 93747', 'TYC 1052-3027-1', 'Gaia EDR3- 4314399312979641728']",19h05m24s,"+13°51'46""",2.95
Zaurak,"['Zaurak', 'γ-Eri', 'Gamma Eridani', '34-Eri', '34 Eridani', 'HR 1231', 'HD 25025', 'HIP 18543', 'TYC 5311-1285-1']",03h58m01s,"-13°30'30""",2.96
Alnasl,"['Alnasl', 'γ-Sgr', 'Gamma Sagittarii', '10-Sgr', '10 Sagittarii', 'HR 6746', 'HD 165135', 'NSV 10173', 'HIP 88635', 'TYC 7391-2710-1']",18h05m48s,"-30°25'26""",2.96
Algorab,"['Algorab', 'δ-Crv', 'Delta Corvi', '7-Crv', '7 Corvi', 'HR 4757', 'HD 108767', 'NSV 5656', 'HIP 60965', 'TYC 6103-2395-1', 'Gaia EDR3- 3520586071217872896']",12h29m51s,"-16°30'57""",2.97
,"['γ-Gru', 'Gamma Gruis', 'HR 8353', 'HD 207971', 'HIP 108085', 'TYC 7494-1748-1']",21h53m55s,"-37°21'53""",2.98
Mebsuta,"['Mebsuta', 'ε-Gem', 'Epsilon Geminorum', '27-Gem', '27 Geminorum', 'HR 2473', 'HD 48329', 'NSV 3183', 'HIP 32246', 'TYC 1897-1639-1', 'Gaia EDR3- 3384529341302871296']",06h43m55s,"+25°07'51""",2.99
,"['ζ-Tau', 'Zeta Tauri', '123-Tau', '123 Tauri', 'HR 1910', 'HD 37202', 'HIP 26451', 'TYC 1310-2697-1', 'Gaia EDR3- 3402918982515591168']",05h37m38s,"+21°08'32""",3.00
,"['μ¹-Sco', 'Mu1 Scorpii', 'HR 6247', 'HD 151890', 'HIP 82514', 'TYC 7868-1821-1']",16h51m52s,"-38°02'50""",3.00
Furud,"['Furud', 'ζ-CMa', 'Zeta Canis Majoris', '1-CMa', '1 Canis Majoris', 'HR 2282', 'HD 44402', 'NSV 2927', 'HIP 30122', 'TYC 7073-2426-1', 'Gaia EDR3- 2896572746685604480']",06h20m18s,"-30°03'48""",3.02
,"['ε-Aur', 'Epsilon Aurigae', '7-Aur', '7 Aurigae', 'HR 1605', 'HD 31964', 'HIP 23416', 'TYC 2907-1275-1', 'Gaia EDR3- 205499655242974464']",05h01m58s,"+43°49'23""",3.03
Pherkad,"['Pherkad', 'γ-UMi', 'Gamma Ursae Minoris', '13-UMi', '13 Ursae Minoris', 'HR 5735', 'HD 137422', 'HIP 75097', 'TYC 4414-2314-1']",15h20m43s,"+71°50'02""",3.03
Seginus,"['Seginus', 'γ-Boo', 'Gamma Bootis', '27-Boo', '27 Bootis', 'HR 5435', 'HD 127762', 'HIP 71075', 'TYC 3036-1151-1']",14h32m04s,"+38°18'28""",3.04
Altais,"['Altais', 'δ-Dra', 'Delta Draconis', '57-Dra', '57 Draconis', 'HR 7310', 'HD 180711', 'HIP 94376', 'TYC 4444-2239-1', 'Gaia EDR3- 2255173119658513408']",19h12m33s,"+67°39'43""",3.06
Albireo,"['Albireo', 'β¹-Cyg', 'Beta1 Cygni', '6-Cyg', '6 Cygni', 'HR 7417', 'HD 183912', 'NSV 12105', 'HIP 95947', 'TYC 2133-2964-1']",19h30m43s,"+27°57'34""",3.07
Dabih,"['Dabih', 'β-Cap', 'Beta Capricorni', '9-Cap', '9 Capricorni', 'HR 7776', 'HD 193495', 'HIP 100345', 'TYC 5753-2281-1']",20h21m00s,"-14°46'53""",3.07
Sarin,"['Sarin', 'δ-Her', 'Delta Herculis', '65-Her', '65 Herculis', 'HR 6410', 'HD 156164', 'NSV 8419', 'HIP 84379', 'TYC 2065-1930-1', 'Gaia EDR3- 4573412435280434560']",17h15m01s,"+24°50'18""",3.11
Wazn,"['Wazn', 'β-Col', 'Beta Columbae', 'HR 2040', 'HD 39425', 'HIP 27628', 'TYC 7069-1482-1', 'Gaia EDR3- 2887731882922767744']",05h50m57s,"-35°45'59""",3.11
Talitha,"['Talitha', 'ι-UMa', 'Iota Ursae Majoris', '9-UMa', '9 Ursae Majoris', 'HR 3569', 'HD 76644', 'NSV 4329', 'HIP 44127', 'TYC 3420-2149-1', 'Gaia EDR3- 1014058103758571520']",08h59m11s,"+48°02'27""",3.14
,"['η-Aur', 'Eta Aurigae', '10-Aur', '10 Aurigae', 'HR 1641', 'HD 32630', 'NSV 1822', 'HIP 23767', 'TYC 2899-2237-1', 'Gaia EDR3- 201261278441958656']",05h06m30s,"+41°14'03""",3.17
,"['π³-Ori', 'Pi3 Orionis', '1-Ori', '1 Orionis', 'HR 1543', 'HD 30652', 'NSV 1731', 'HIP 22449', 'TYC 96-1462-1', 'Gaia EDR3- 3288921720025503360']",04h49m50s,"+06°57'40""",3.18
,"['ζ-Dra', 'Zeta Draconis', '22-Dra', '22 Draconis', 'HR 6396', 'HD 155763', 'HIP 83895', 'TYC 4210-1048-1']",17h08m47s,"+65°42'52""",3.18
,"['G-Sco', 'G Scorpii', 'HR 6630', 'HD 161892', 'HIP 87261', 'TYC 7389-2159-1']",17h49m51s,"-37°02'35""",3.19
Errai,"['Errai', 'γ-Cep', 'Gamma Cephei', '35-Cep', '35 Cephei', 'HR 8974', 'HD 222404', 'NSV 14656', 'HIP 116727', 'TYC 4606-3584-1']",23h39m20s,"+77°37'56""",3.21
Acamar,"['Acamar', 'θ¹-Eri', 'Theta1 Eridani', 'HR 897', 'HD 18622', 'NSV 1002', 'HIP 13847', 'TYC 7563-1016-1', 'Gaia EDR3- 5044368071870093312']",02h58m15s,"-40°18'16""",3.22
Sulafat,"['Sulafat', 'γ-Lyr', 'Gamma Lyrae', '14-Lyr', '14 Lyrae', 'HR 7178', 'HD 176437', 'NSV 11624', 'HIP 93194', 'TYC 2643-3346-1', 'Gaia EDR3- 2043823929421342848']",18h58m56s,"+32°41'22""",3.22
Alfirk,"['Alfirk', 'β-Cep', 'Beta Cephei', '8-Cep', '8 Cephei', 'HR 8238', 'HD 205021', 'HIP 106032', 'TYC 4465-2643-1', 'Gaia EDR3- 2272185759996420992']",21h28m39s,"+70°33'38""",3.23
Skat,"['Skat', 'δ-Aqr', 'Delta Aquarii', '76-Aqr', '76 Aquarii', 'HR 8709', 'HD 216627', 'NSV 14356', 'HIP 113136', 'TYC 6387-1382-1']",22h54m39s,"-15°49'14""",3.27
,"['σ-Lib', 'Sigma Librae', '20-Lib', '20 Librae', 'HR 5603', 'HD 133216', 'HIP 73714', 'TYC 6752-1455-1', 'Gaia EDR3- 6227443304915069056']",15h04m04s,"-25°16'55""",3.28
Edasich,"['Edasich', 'ι-Dra', 'Iota Draconis', '12-Dra', '12 Draconis', 'HR 5744', 'HD 137759', 'NSV 7077', 'HIP 75458', 'TYC 3875-1620-1', 'Gaia EDR3- 1614731957531452544']",15h24m55s,"+58°57'58""",3.30
Propus,"['Propus', 'η-Gem', 'Eta Geminorum', '7-Gem', '7 Geminorum', 'HR 2216', 'HD 42995', 'HIP 29655', 'TYC 1877-1716-1']",06h14m52s,"+22°30'24""",3.30
Megrez,"['Megrez', 'δ-UMa', 'Delta Ursae Majoris', '69-UMa', '69 Ursae Majoris', 'HR 4660', 'HD 106591', 'NSV 5513', 'HIP 59774', 'TYC 3837-1070-1', 'Gaia EDR3- 1575287046603605888']",12h15m25s,"+57°01'57""",3.30
Chertan,"['Chertan', 'θ-Leo', 'Theta Leonis', '70-Leo', '70 Leonis', 'HR 4359', 'HD 97633', 'NSV 5144', 'HIP 54879', 'TYC 1437-2847-1', 'Gaia EDR3- 3970052886914547712']",11h14m14s,"+15°25'45""",3.30
,"['ξ-Pup', 'Xi Puppis', '7-Pup', '7 Puppis', 'HR 3045', 'HD 63700', 'HIP 38170', 'TYC 6557-4522-1']",07h49m17s,"-24°51'35""",3.32
,"['ξ-Gem', 'Xi Geminorum', '31-Gem', '31 Geminorum', 'HR 2484', 'HD 48737', 'NSV 3193', 'HIP 32362', 'TYC 754-2356-1', 'Gaia EDR3- 3352485999058854912']",06h45m17s,"+12°53'41""",3.33
Rasalgethi,"['Rasalgethi', 'Alp Her', 'α¹-Her', 'Alpha1 Herculis', '64-Her', '64 Herculis', 'HR 6406', 'HD 156014', 'HIP 84345', 'TYC 990-2133-1']",17h14m38s,"+14°23'25""",3.34
Muscida,"['Muscida', 'O-UMa', 'Omicron Ursae Majoris', '1-UMa', '1 Ursae Majoris', 'HR 3323', 'HD 71369', 'NSV 4093', 'HIP 41704', 'TYC 4127-2431-1', 'Gaia EDR3- 1041808368494264576']",08h30m15s,"+60°43'03""",3.36
,"['ζ-Vir', 'Zeta Virginis', '79-Vir', '79 Virginis', 'HR 5107', 'HD 118098', 'HIP 66249', 'TYC 4966-1366-1']",13h34m41s,"-00°35'45""",3.38
,"['θ²-Tau', 'Theta2 Tauri', '78-Tau', '78 Tauri', 'HR 1412', 'HD 28319', 'HIP 20894', 'TYC 1265-1172-1']",04h28m39s,"+15°52'15""",3.39
Mothallah,"['Mothallah', 'α-Tri', 'Alpha Trianguli', '2-Tri', '2 Trianguli', 'HR 544', 'HD 11443', 'HIP 8796', 'TYC 1763-3028-1']",01h53m04s,"+29°34'43""",3.41
,"['δ-Vir', 'Delta Virginis', '43-Vir', '43 Virginis', 'HR 4910', 'HD 112300', 'NSV 6026', 'HIP 63090', 'TYC 294-1032-1', 'Gaia EDR3- 3704342295607157120']",12h55m35s,"+03°23'50""",3.41
,"['ε-Hya', 'Epsilon Hydrae', '11-Hya', '11 Hydrae', 'HR 3482', 'HD 74874', 'HIP 43109', 'TYC 224-1333-1']",08h46m46s,"+06°25'07""",3.42
Homam,"['Homam', 'ζ-Peg', 'Zeta Pegasi', '42-Peg', '42 Pegasi', 'HR 8634', 'HD 214923', 'HIP 112029', 'TYC 1155-2187-1']",22h41m27s,"+10°49'53""",3.42
Adhafera,"['Adhafera', 'ζ-Leo', 'Zeta Leonis', '36-Leo', '36 Leonis', 'HR 4031', 'HD 89025', 'NSV 4804', 'HIP 50335', 'TYC 1969-1261-1']",10h16m41s,"+23°25'02""",3.44
,"['η-Cas', 'Eta Cassiopeiae', '24-Cas', '24 Cassiopeiae', 'HR 219', 'HD 4614', 'HIP 3821', 'TYC 3663-2669-1']",00h49m05s,"+57°48'59""",3.46
,"['σ-CMa', 'Sigma Canis Majoris', '22-CMa', '22 Canis Majoris', 'HR 2646', 'HD 52877', 'HIP 33856', 'TYC 6531-3793-1', 'Gaia EDR3- 5610441600394646016']",07h01m43s,"-27°56'05""",3.47
Nekkar,"['Nekkar', 'β-Boo', 'Beta Bootis', '42-Boo', '42 Bootis', 'HR 5602', 'HD 133208', 'NSV 6898', 'HIP 73555', 'TYC 3047-1258-1', 'Gaia EDR3- 1296713990316692096']",15h01m56s,"+40°23'25""",3.48
Sadalbari,"['Sadalbari', 'μ-Peg', 'Mu Pegasi', '48-Peg', '48 Pegasi', 'HR 8684', 'HD 216131', 'HIP 112748', 'TYC 2225-1821-1', 'Gaia EDR3- 1876510592179455744']",22h50m00s,"+24°36'05""",3.51
Subra,"['Subra', 'O-Leo', 'Omicron Leonis', '14-Leo', '14 Leonis', 'HR 3852', 'HD 83808', 'HIP 47508', 'TYC 821-2130-1', 'Gaia EDR3- 588551501854159744']",09h41m08s,"+09°53'31""",3.51
,"['β-Cnc', 'Beta Cancri', '17-Cnc', '17 Cancri', 'HR 3249', 'HD 69267', 'NSV 3973', 'HIP 40526', 'TYC 794-1622-1', 'Gaia EDR3- 3098404220680931968']",08h16m30s,"+09°11'07""",3.52
,"['δ-Eri', 'Delta Eridani', '23-Eri', '23 Eridani', 'HR 1136', 'HD 23249', 'HIP 17378', 'TYC 5303-1320-1', 'Gaia EDR3- 5164120762333028736']",03h43m14s,"-09°45'36""",3.53
Meissa,"['Meissa', 'λ-Ori', 'Lambda Orionis', '39-Ori', '39 Orionis', 'HR 1879', 'HD 36861', 'NSV 2240', 'HIP 26207', 'TYC 705-2400-1']",05h35m08s,"+09°56'02""",3.53
,"['μ²-Sco', 'Mu2 Scorpii', 'HR 6252', 'HD 151985', 'HIP 82545', 'TYC 7868-1820-1', 'Gaia EDR3- 5971244451311982336']",16h52m20s,"-38°01'03""",3.53
Ain,"['Ain', 'ε-Tau', 'Epsilon Tauri', '74-Tau', '74 Tauri', 'HR 1409', 'HD 28305', 'HIP 20889', 'TYC 1273-1104-1', 'Gaia EDR3- 48026706558487040']",04h28m37s,"+19°10'48""",3.53
Biham,"['Biham', 'θ-Peg', 'Theta Pegasi', '26-Peg', '26 Pegasi', 'HR 8450', 'HD 210418', 'NSV 14057', 'HIP 109427', 'TYC 565-1999-1']",22h10m11s,"+06°11'52""",3.53
Wasat,"['Wasat', 'δ-Gem', 'Delta Geminorum', '55-Gem', '55 Geminorum', 'HR 2777', 'HD 56986', 'HIP 35550', 'TYC 1359-2672-1']",07h20m07s,"+21°58'56""",3.54
,"['γ-Cet', 'Gamma Ceti', '86-Cet', '86 Ceti', 'HR 804', 'HD 16970', 'HIP 12706', 'TYC 50-1721-1']",02h43m18s,"+03°14'10""",3.57
,"['κ-UMa', 'Kappa Ursae Majoris', '12-UMa', '12 Ursae Majoris', 'HR 3594', 'HD 77327', 'NSV 4357', 'HIP 44471', 'TYC 3424-1626-1']",09h03m37s,"+47°09'23""",3.58
Algedi,"['Algedi', 'α²-Cap', 'Alpha2 Capricorni', '6-Cap', '6 Capricorni', 'HR 7754', 'HD 192947', 'HIP 100064', 'TYC 5749-2530-1', 'Gaia EDR3- 6880093650314169984']",20h18m03s,"-12°32'41""",3.58
,"['51-And', '51 Andromedae', 'HR 464', 'HD 9927', 'HIP 7607', 'TYC 3282-2271-1', 'Gaia EDR3- 399402894487590144']",01h37m59s,"+48°37'39""",3.58
,"['ε-Cru', 'Epsilon Crucis', 'HR 4700', 'HD 107446', 'NSV 5568', 'HIP 60260', 'TYC 8975-4125-1', 'Gaia EDR3- 6058271964884299520']",12h21m21s,"-60°24'02""",3.58
,"['c-Ari', 'c Arietis', '41-Ari', '41 Arietis', 'HR 838', 'HD 17573', 'NSV 951', 'HIP 13209', 'TYC 1789-1490-1']",02h49m59s,"+27°15'37""",3.59
Zavijava,"['Zavijava', 'β-Vir', 'Beta Virginis', '5-Vir', '5 Virginis', 'HR 4540', 'HD 102870', 'HIP 57757', 'TYC 273-924-1', 'Gaia EDR3- 3796442680948579328']",11h50m42s,"+01°45'48""",3.59
Atlas,"['Atlas', '27-Tau', '27 Tauri', 'HR 1178', 'HD 23850', 'NSV 1345', 'HIP 17847', 'TYC 1800-2203-1', 'Gaia EDR3- 66526127137440128']",03h49m09s,"+24°03'11""",3.61
,"['η-Psc', 'Eta Piscium', '99-Psc', '99 Piscium', 'HR 437', 'HD 9270', 'NSV 532', 'HIP 7097', 'TYC 1198-1597-1', 'Gaia EDR3- 2591891443195067264']",01h31m29s,"+15°20'44""",3.61
Sheliak,"['Sheliak', 'β-Lyr', 'Beta Lyrae', '10-Lyr', '10 Lyrae', 'HR 7106', 'HD 174638', 'HIP 92420', 'TYC 2642-2929-1', 'Gaia EDR3- 2090687795056051328']",18h50m04s,"+33°21'45""",3.63
Rotanev,"['Rotanev', 'β-Del', 'Beta Delphini', '6-Del', '6 Delphini', 'HR 7882', 'HD 196524', 'HIP 101769', 'TYC 1100-1720-1']",20h37m32s,"+14°35'42""",3.63
Nusakan,"['Nusakan', 'β-CrB', 'Beta Coronae Borealis', '3-CrB', '3 Coronae Borealis', 'HR 5747', 'HD 137909', 'HIP 75695', 'TYC 2032-1605-1']",15h27m49s,"+29°06'20""",3.64
Thuban,"['Thuban', 'α-Dra', 'Alpha Draconis', '11-Dra', '11 Draconis', 'HR 5291', 'HD 123299', 'NSV 6546', 'HIP 68756', 'TYC 4174-1262-1']",14h04m23s,"+64°22'32""",3.65
,"['ζ-Cas', 'Zeta Cassiopeiae', '17-Cas', '17 Cassiopeiae', 'HR 153', 'HD 3360', 'NSV 225', 'HIP 2920', 'TYC 3654-2132-1', 'Gaia EDR3- 418001477279154304']",00h36m58s,"+53°53'48""",3.68
Nashira,"['Nashira', 'γ-Cap', 'Gamma Capricorni', '40-Cap', '40 Capricorni', 'HR 8278', 'HD 206088', 'HIP 106985', 'TYC 6362-1078-1']",21h40m05s,"-16°39'44""",3.68
