Common Name,Alternative Names,Right Ascension,Declination,Magnitude
Alnitak,"['Alnitak', 'ζ-Ori', 'Zeta Orionis', '50-Ori', '50 Orionis', 'HR 1948', 'HD 37742', 'NSV 2553', 'HIP 26727', 'TYC 4771-1188-1']",05h40m45s,"-01°56'33""",1.90
Menkalinan,"['Menkalinan', 'β-Aur', 'Beta Aurigae', '34-Aur', '34 Aurigae', 'HR 2088', 'HD 40183', 'HIP 28360', 'TYC 2924-2742-1']",05h59m31s,"+44°56'50""",1.90
Peacock,"['Peacock', 'α-Pav', 'Alpha Pavonis', 'HR 7790', 'HD 193924', 'NSV 13060', 'HIP 100751', 'TYC 8785-1898-1']",20h25m38s,"-56°44'05""",1.92
Alhena,"['Alhena', 'γ-Gem', 'Gamma Geminorum', '24-Gem', '24 Geminorum', 'HR 2421', 'HD 47105', 'HIP 31681']",06h37m42s,"+16°23'57""",1.93
,"['δ-Vel', 'Delta Velorum', 'HR 3485', 'HD 74956', 'HIP 42913', 'TYC 8573-3571-1']",08h44m42s,"-54°42'30""",1.94
Avior,"['Avior', 'ε-Car', 'Epsilon Carinae', 'HR 3307', 'HD 71129', 'NSV 4058', 'HIP 41037', 'TYC 8579-2692-1']",08h22m30s,"-59°30'34""",1.95
Mirzam,"['Mirzam', 'β-CMa', 'Beta Canis Majoris', '2-CMa', '2 Canis Majoris', 'HR 2294', 'HD 44743', 'HIP 30324', 'TYC 5938-2918-1']",06h22m41s,"-17°57'21""",1.96
Alphard,"['Alphard', 'α-Hya', 'Alpha Hydrae', '30-Hya', '30 Hydrae', 'HR 3748', 'HD 81797', 'NSV 4496', 'HIP 46390', 'TYC 5460-1592-1']",09h27m35s,"-08°39'30""",1.98
Polaris,"['Polaris', 'α-UMi', 'Alpha Ursae Minoris', '1-UMi', '1 Ursae Minoris', 'HR 424', 'HD 8890', 'HIP 11767', 'TYC 4628-237-1']",02h31m47s,"+89°15'50""",2.00
Hamal,"['Hamal', 'α-Ari', 'Alpha Arietis', '13-Ari', '13 Arietis', 'HR 617', 'HD 12929', 'NSV 725', 'HIP 9884', 'TYC 1758-2416-1']",02h07m10s,"+23°27'45""",2.02
Menkent,"['Menkent', 'θ-Cen', 'Theta Centauri', '5-Cen', '5 Centauri', 'HR 5288', 'HD 123139', 'HIP 68933', 'TYC 7293-2215-1']",14h06m40s,"-36°22'11""",2.05
Diphda,"['Diphda', 'β-Cet', 'Beta Ceti', '16-Cet', '16 Ceti', 'HR 188', 'HD 4128', 'NSV 272', 'HIP 3419', 'TYC 5847-2333-1']",00h43m35s,"-17°59'12""",2.05
Alpheratz,"['Alpheratz', 'α-And', 'Alpha Andromedae', '21-And', '21 Andromedae', 'HR 15', 'HD 358', 'HIP 677', 'TYC 1735-3180-1']",00h08m23s,"+29°05'26""",2.06
Saiph,"['Saiph', 'κ-Ori', 'Kappa Orionis', '53-Ori', '53 Orionis', 'HR 2004', 'HD 38771', 'NSV 2641', 'HIP 27366', 'TYC 5351-760-1', 'Gaia EDR3- 3011968416163350272']",05h47m45s,"-09°40'10""",2.06
Kochab,"['Kochab', 'β-UMi', 'Beta Ursae Minoris', '7-UMi', '7 Ursae Minoris', 'HR 5563', 'HD 131873', 'NSV 6846', 'HIP 72607', 'TYC 4416-1799-1']",14h50m42s,"+74°09'19""",2.06
Nunki,"['Nunki', 'σ-Sgr', 'Sigma Sagittarii', '34-Sgr', '34 Sagittarii', 'HR 7121', 'HD 175191', 'HIP 92855', 'TYC 6868-1829-1']",18h55m15s,"-26°17'47""",2.07
Mirach,"['Mirach', 'β-And', 'Beta Andromedae', '43-And', '43 Andromedae', 'HR 337', 'HD 6860', 'NSV 414', 'HIP 5447', 'TYC 2286-1329-1']",01h09m43s,"+35°37'14""",2.07
